QCDR Name,Measure ID,Measure Title,Measure Description ,NQF Number  (if applicable),NQS Domain ,High Priority,Measure Type,Inverse Measure,"Proportional Measure
",Continuous Variable Measure  ,Ratio Measure  ,Number of performance rates to be submitted                                                  ,Overall Algorithm,Is the Measure Risk-Adjusted   ,Primary Steward,First Performance Year
Keet Outcomes,IROMS14,"Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) in improvement in pain score, measured via the Numeric Pain Rating Scale (NPRS), in rehabilitation patients with hip, leg or ankle (lower extremity except knee) injury.","The proportion of patients failing to achieve an MCID of two (2) points or more improvement in the NPRS change score for patients with hip, leg, or ankle injuries treated during the observation period will be reported.

Additionally, a risk-adjusted MCID proportional difference will be determined by calculating the difference between the risk model predicted and observed MCID proportion will reported for each physical therapist or physical therapy group.  The risk adjustment will be calculated using a logistic regression model using: LEFS score, baseline pain score, age, sex, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit).

These measures will serve as a physical or occupational therapy performance measure at the eligible physical or occupational therapist or physical or occupational therapy group level.

Performance Rate Descriptions:

Six measures will be reported, two overall performance measures and four stratified performance measures are to be included:
1) Overall proportion of patients not achieving an MCID in the NPRS change score will be reported.
2) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.

For operative (surgical) patients:
3) The proportion of patients not achieving an MCID in the NPRS change score will be reported.
4) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.

For non-operative (non-surgical) patients:
5) The proportion of patients not achieving an MCID in the NPRS change score will be reported.
6) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),Yes,Yes,No,No,6,2nd Performance Rate,Yes,Keet Outcomes,2019
Keet Outcomes,IROMS15,Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) to indicate functional improvement in rehabilitation of patients with neck pain/injury measured via the validated Neck Disability Index (NDI).,"The proportion of patients failing to achieve an MCID of ten (10) points or more improvement in the NDI change score for neck pain/injury patients treated during the observation period will be reported.

Additionally, a risk-adjusted NDI change proportional difference will be determined by calculating the difference between the risk model predicted and observed MCID proportion will reported for each physical therapist or physical therapy group.  The risk adjustment will be calculated using a logistic regression model using: baseline NDI score, baseline pain score, age, sex, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit).

These measures will serve as a physical or occupational therapy performance measure at the eligible physical or occupational therapist or physical or occupational therapy group level.

Performance Rate Descriptions:

Six measures will be reported, two overall performance measures and four stratified performance measures are to be included:

1) Overall proportion of patients achieving an MCID in NDI change score will be reported.
2) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via NDI) proportion will reported.

For operative (surgical) patients:
3) The proportion of patients not achieving an MCID in NDI change score will be reported.
4) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via NDI) proportion will reported.

For non-operative (non-surgical) patients:
5) The proportion of patients not achieving an MCID in NDI change score will be reported.
6) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via NDI) proportion will reported.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),Yes,Yes,No,No,6,2nd Performance Rate,Yes,Keet Outcomes,2019
Keet Outcomes,IROMS16,"Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) in improvement in pain score, measured via the Numeric Pain Rating Scale (NPRS), in rehabilitation patients with neck pain/injury.","The proportion of patients failing to achieve an MCID of two (2) points or more improvement in the NPRS change score for patients with neck pain/injury treated during the observation period will be reported.

Additionally, a risk-adjusted MCID proportional difference will be determined by calculating the difference between the risk model predicted and observed MCID proportion will reported for each physical therapist or physical therapy group.  The risk adjustment will be calculated using a logistic regression model using: baseline NDI score, baseline pain score, age, sex, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit).

These measures will serve as a physical or occupational therapy performance measure at the eligible physical or occupational therapist or physical or occupational therapy group level.

Performance Rate Descriptions:

Six measures will be reported, two overall performance measures and four stratified performance measures are to be included:
1) Overall proportion of patients not achieving an MCID in the NPRS change score will be reported.
2) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.

For operative (surgical) patients:
3) The proportion of patients not achieving an MCID in the NPRS change score will be reported.
4) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.

For non-operative (non-surgical) patients:
5) The proportion of patients not achieving an MCID in the NPRS change score will be reported.
6) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),Yes,Yes,No,No,6,2nd Performance Rate,Yes,Keet Outcomes,2019
Keet Outcomes,IROMS17,Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) to indicate functional improvement in rehabilitation patients with low back pain measured via the validated Modified Low Back Pain Disability Questionnaire (MDQ) score.,"The proportion of patients failing to achieve an MCID of six (6) points or more improvement in the MDQ change score for patients with low back pain treated during the observation period will be reported.

Additionally, a risk-adjusted MCID proportional difference will be determined by calculating the difference between the risk model predicted and observed MCID proportion will reported for each physical therapist or physical therapy group.  The risk adjustment will be calculated using a logistic regression model using: baseline MDQ score, baseline pain score, age, sex, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit).

These measures will serve as a physical or occupational therapy performance measure at the eligible physical or occupational therapist or physical or occupational therapy group level.

Performance Rate Descriptions:

Six measures will be reported, two overall performance measures and four stratified performance measures are to be included:

1) Overall proportion of patients not achieving an MCID in MDQ change score will be reported.
2) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via MDQ) proportion will reported.

For operative (surgical) patients:
3) The proportion of patients not achieving an MCID in MDQ change score will be reported.
4) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via MDQ) proportion will reported.

For non-operative (non-surgical) patients:
5) The proportion of patients not achieving an MCID in MDQ change score will be reported.
6) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via MDQ) proportion will reported.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),Yes,Yes,No,No,6,2nd Performance Rate,Yes,Keet Outcomes,2019
Keet Outcomes,IROMS18,"Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) in improvement in pain score, measured via the Numeric Pain Rating Scale (NPRS), in revalidation patients with low back pain.","The proportion of patients failing to achieve an MCID of two (2) points or more improvement in the NPRS change score for patients with low back pain treated during the observation period will be reported.

Additionally, a risk-adjusted MCID proportional difference will be determined by calculating the difference between the risk model predicted and observed MCID proportion will reported for each physical therapist or physical therapy group.  The risk adjustment will be calculated using a logistic regression model using: baseline MDQ score, baseline pain score, age, sex, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit).

These measures will serve as a physical or occupational therapy performance measure at the eligible physical or occupational therapist or physical or occupational therapy group level.

Performance Rate Descriptions:

Six measures will be reported, two overall performance measures and four stratified performance measures are to be included:
1) Overall proportion of patients not achieving an MCID in the NPRS change score will be reported.
2) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.

For operative (surgical) patients:
3) The proportion of patients not achieving an MCID in the NPRS change score will be reported.
4) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.

For non-operative (non-surgical) patients:
5) The proportion of patients not achieving an MCID in the NPRS change score will be reported.
6) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),Yes,Yes,No,No,6,2nd Performance Rate,Yes,Keet Outcomes,2019
Keet Outcomes,IROMS19,"Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) to indicate functional improvement in rehabilitation of patients with arm, shoulder, and hand injury measured via the validated Disability of Arm Shoulder and Hand (DASH) score, Quick Disability of Arm Shoulder and Hand (QDASH) score, or equivalent instrument which has undergone peer reviewed published validation and demonstrates a peer reviewed published MCID.","The proportion of patients failing to achieve an MCID of ten (10) points or more improvement in the DASH change score or eight (8) points or more improvement in the QDASH change score for patients with arm, shoulder, and hand injury patients treated during the observation period will be reported.

Additionally, a risk-adjusted DASH change proportional difference will be determined by calculating the difference between the risk model predicted and observed MCID proportion will reported for each physical therapist or physical therapy group.  The risk adjustment will be calculated using a logistic regression model using: baseline MDQ score, baseline pain score, age, sex, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit).

These measures will serve as a physical and occupational therapy performance measure at the eligible physical or occupational therapist or physical or occupational therapy group level.

Performance Rate Descriptions:

Six measures will be reported, two overall performance measures and four stratified performance measures are to be included:

1) Overall proportion of patients achieving an MCID in DASH change score will be reported.
2) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via DASH) proportion will reported.

For operative (surgical) patients:
3) The proportion of patients not achieving an MCID in DASH change score will be reported.
4) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via DASH) proportion will reported.

For non-operative (non-surgical) patients:
5) The proportion of patients not achieving an MCID in DASH change score will be reported.
6) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via DASH) proportion will reported.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),Yes,Yes,No,No,6,2nd Performance Rate,Yes,Keet Outcomes,2019
Keet Outcomes,IROMS20,"Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) in improvement in pain score, measured via the Numeric Pain Rating Scale (NPRS),  in rehabilitation patients with arm, shoulder, or hand injury.","The proportion of patients failing to achieve an MCID of two (2) points or more improvement in the NPRS change score for patients with arm, shoulder, or hand injury treated during the observation period will be reported.

Additionally, a risk-adjusted MCID proportional difference will be determined by calculating the difference between the risk model predicted and observed MCID proportion will reported for each physical therapist or physical therapy group.  The risk adjustment will be calculated using a logistic regression model using: baseline DASH score, baseline pain score, age, sex, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit).

These measures will serve as a physical or occupational therapy performance measure at the eligible physical or occupational therapist or physical or occupational therapy group level.

Performance Rate Descriptions:

Six measures will be reported, two overall performance measures and four stratified performance measures are to be included:
1) Overall proportion of patients not achieving an MCID in the NPRS change score will be reported.
2) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.

For operative (surgical) patients:
3) The proportion of patients not achieving an MCID in the NPRS change score will be reported.
4) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.

For non-operative (non-surgical) patients:
5) The proportion of patients not achieving an MCID in the NPRS change score will be reported.
6) A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),Yes,Yes,No,No,6,2nd Performance Rate,Yes,Keet Outcomes,2019
MBHR Mental and Behavioral Health Registry,MBHR1,Anxiety Screening,"The percentage of adult patients (18 years and older) with an anxiety disorder diagnosis (generalized anxiety disorder, social anxiety disorder, post-traumatic stress disorder, or panic disorder) who have completed a standardized tool (e.g., GAD-7, GAD-2, BAI) during measurement period

",n/a,Community/Population Health,No,Process,No,Yes,No,No,1,N/A,No,MBHR Mental and Behavioral Health Registry,2018
MBHR Mental and Behavioral Health Registry,MBHR10,Symptom Improvement in adults with ADHD,"The percentage of adult patients (18 years of age or older) with a diagnosis of ADHD who show a reduction in symptoms of .25 (25%) on the Adult ADHD Self-Report Scale (ASRS-v1.1 - referred to as ASRS) 18 item self-report scale of ADHD symptoms within 2 to 6 months after initially reporting significant symptoms

Performance Rate Descriptions:

1. Documentation of a standardized tool to assess ADHD (i.e., ASRS checklist) and a document care of plan  2. Patient demonstrated an ASRS score that is reduced by 25% or greater from the index score, 2-6 months after index date",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,2,2nd Performance Rate,No,MBHR Mental and Behavioral Health Registry,2020
MBHR Mental and Behavioral Health Registry,MBHR2,Anxiety Response at 6-months,"The percentage of adult patients (18 years of age or older) with an anxiety disorder (generalized anxiety disorder, social anxiety disorder, post-traumatic stress disorder, or panic disorder) who demonstrated a response to treatment at six months (+/- 60 days) after an index visit

",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,N/A,Yes,MBHR Mental and Behavioral Health Registry,2018
MBHR Mental and Behavioral Health Registry,MBHR3,Pain Interference Response utilizing PROMIS,"The percentage of adult patients (18 years of age or older) who report pain issues and demonstrated a response to treatment at one month from the index score

",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,N/A,No,MBHR Mental and Behavioral Health Registry,2019
MBHR Mental and Behavioral Health Registry,MBHR4,Social Role Functioning Outcome utilizing PROMIS,"The percentage of adult patients (18 years of age or older) with a mood or anxiety disorder who report concerns related to their psychosocial function and demonstrated a response to treatment two months (+/- 30 days) after the index visit

",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,N/A,No,MBHR Mental and Behavioral Health Registry,2019
MBHR Mental and Behavioral Health Registry,MBHR5,Screening and monitoring for psychosocial problems among children and youth,"Percentage of children from 3.00 to 17.99 years of age who are administered a parent-report, standardized and validated screening tool to assess broad-band psychosocial problems during an intake visit AND who demonstrated a reliable change in parent-reported problem behaviors 2 to 6 months after initial positive screen for externalizing and internalizing behavior problems.

Performance Rate Descriptions:

1. Patient administered a psychiatric screening to assess health broad-band psychosocial problem 2. Patient administered a psychiatric or behavioral health intake visit with a positive PSC-ES/PSC-IS screening who demonstrated a reliable improvement of 2 or more points on parent-report version of the PSC-ES/PSC-IS assessment taken 2 to 6 months later",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,2,2nd Performance Rate,No,MBHR Mental and Behavioral Health Registry,2019
MBHR Mental and Behavioral Health Registry,MBHR6,Sleep Quality Screening and Sleep Response at 3-months,"Percentage of patients 18 years and older who reported sleep quality concerns (e.g., insomnia) with documentation of a standardized tool AND demonstrated a response to treatment at three months (+/- 60 days) after index visit

Performance Rate Descriptions:

1. Documentation of a standardized tool to assess sleep quality and a document care of plan (e.g. Pittsburgh Sleep Quality Index (PSQI), the Insomnia Severity Index (ISI))  2. Patient demonstrated an Insomnia Severity Index (ISI) that is reduced by 25% or greater from the index Insomnia Severity Index (ISI) score, three months (+/- 60 days) after index date",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,2,2nd Performance Rate,No,MBHR Mental and Behavioral Health Registry,2019
MBHR Mental and Behavioral Health Registry,MBHR7,Posttraumatic Stress Disorder (PTSD) Screening and Outcome Assessment,"The percentage of patients with a history of a traumatic event (i.e., an experience that was unusually or especially frightening, horrible, or traumatic) who report symptoms consistent with PTSD for at least one month following the traumatic event AND with documentation of a standardized symptom monitor (PCL-5 for adults, CATS for child/adolescent) AND demonstrated a response to treatment at three months (+/- 60 days) after the index visit.

This measure is a multi-strata measure, which addresses symptom monitoring for both child and adult patients being treated for post-traumatic stress symptoms. Assessment instruments monitoring severity of symptoms for PTSD are validated either for adult or child populations. Thus, while the measurement structure will be similar for both populations, the specified instruments for symptom monitoring will be different.

",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,N/A,No,MBHR Mental and Behavioral Health Registry,2020
MBHR Mental and Behavioral Health Registry,MBHR8,Alcohol Use Disorder Outcome Response,"The percentage of adult patients (18 years of age or older) who report problems with drinking alcohol AND with documentation of a standardized screening tool (e.g., AUDIT, AUDIT-C, DAST, TAPS) AND demonstrated a response to treatment at three months (+/- 60 days) after the index visit

",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,N/A,No,MBHR Mental and Behavioral Health Registry,2020
MBHR Mental and Behavioral Health Registry,MBHR9,Outcome monitoring of ADHD functional impairment in children and youth,"Percentage of children aged 4 through 18 years, with a diagnosis of attention deficit/hyperactivity disorder (ADHD), who demonstrate a change score of 0.25 or greater on the Weiss Functional Impairment Rating Scale - Parent Report (WFIRS-P) within 2 to 6 months after an initial positive finding of functional impairment.

Performance Rate Descriptions:

1.	The percentage of patients 4 to 18 years of age receiving a psychiatric or behavioral health intake visit 
2.	The percentage of patients 4 to 18 years of age receiving a psychiatric or behavioral health intake visit, and a clinically significant, baseline WFIRS-P total mean score of 0.65 or greater.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,2,2nd Performance Rate,No,MBHR Mental and Behavioral Health Registry,2020
MEDNAX QCDR,AQI56,Use of Neuraxial Techniques and/or Peripheral Nerve Blocks for Total Knee Arthroplasty (TKA),"Percentage of patients, regardless of age, that undergo primary total knee arthroplasty for whom neuraxial anesthesia and/or a peripheral nerve block is performed

Performance Rate Descriptions:

This measure consists of a single performance rate that describes the percentage of total knee arthroplasty patients for whom neuraxial techniques are used.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2018
MEDNAX QCDR,MEDNAX53,Use of Capnography for Non-Operating Room Anesthesia,"Percentage of patients receiving anesthesia in a non-operating room setting who have end-tidal carbon dioxide (ETCO2) monitored using capnography.

",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,No,MEDNAX QCDR,2019
MEDNAX QCDR,MEDNAX54,Labor Epidural Failure when Converting from Labor Analgesia to Cesarean Section Anesthesia,"The percentage of patients who have pre-existing labor epidural or combined epidural/spinal technique who require either repeat procedural epidural or spinal, general anesthesia, or supplemental sedation as defined below for cesarean section.

",N/A,Efficiency and Cost Reduction,Yes,Outcome,Yes,Yes,No,No,1,N/A,No,MEDNAX QCDR,2019
MEDNAX QCDR,MEDNAX55,Use of ASPECTS (Alberta Stroke Program Early CT Score) for non-contrast CT Head performed for suspected acute stroke.,"Percentage non-contrast CT Head performed for suspected acute stroke whose final reports include an ASPECTS value.

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,MEDNAX QCDR,2019
MEDNAX QCDR,MEDNAX56,Use of a “PEG Test” to Manage Patients Receiving Opioids,"Percentage of patients in an outpatient setting, aged 18 and older, in whom a stable dose of opioids are prescribed for greater than 6 weeks for pain control, and the results of a “PEG Test” are correctly interpreted and applied to the management of their opioid prescriptions.

",N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,N/A,No,MEDNAX QCDR,2020
MEDNAX QCDR,QUANTUM31,Central Line Ultrasound Guidance,"Percentage of patients, regardless of age, in whom ultrasound guidance is used by the anesthesia clinician when placing a central line for those central lines that are placed in the internal jugular location.

",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,No,MEDNAX QCDR,2016
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC10,Prostate Cancer: Confirmation Testing in low risk AS eligible patients,"Percentage of low risk patients that are eligible for active surveillance who receive confirmation testing within 6 months of diagnosis

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2017
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC11,Prostate Cancer: Follow-Up Testing for patients on active surveillance for at least 30 months,"Percentage of patients on active surveillance that have ≥ 2 tumor burden reassessments and 3 PSA tests in first 30 months since diagnosis

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2017
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC12,Kidney Stones: ED visit within 30 days of ureteroscopy,"Percentage of patients who underwent ureteroscopy and experienced an unplanned ED visit within 30 days of the procedure

",N/A,Patient Safety,Yes,Outcome,Yes,Yes,No,No,1,N/A,Yes,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2019
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC13,Kidney Stones: Antibiotics should not be provided at the time of SWL,"Percentage of patients who received antibiotics at the time of shockwave lithotripsy

",N/A,Effective Clinical Care,Yes,Process,Yes,Yes,No,No,1,N/A,No,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2019
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC15,Kidney Stones: SWL in patients with largest renal stone > 2 cm or lower pole stone > 1 cm,"Percentage of patients who underwent shockwave lithotripsy with a largest renal stone > 2 cm or with a lower pole stone > 1 cm

",N/A,Effective Clinical Care,No,Process,Yes,Yes,No,No,1,N/A,No,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2019
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC17,Kidney Stones: Opioid utilization after ureteroscopy and shockwave lithotripsy ,"Percentage of patients who underwent ureteroscopy or shockwave lithotripsy and are discharged on NSAIDS, Acetaminophen, or ""Other"" and who were not prescribed opioids for pain control

",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,No,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2020
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC18,Kidney Stones: Alpha-blockers at discharge for patients undergoing ureteroscopy or shockwave lithotripsy,"Percentage of patients who underwent ureteroscopy or shockwave lithotripsy and received alpha-blockers at discharge

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2020
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC19,Kidney Stones: Readmission within 30 days of ureteroscopy,"Percentage of patients who underwent ureteroscopy and experienced a readmission within 30 days of the procedure

",N/A,Patient Safety,Yes,Outcome,Yes,Yes,No,No,1,N/A,No,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2020
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC20,Prostate Cancer: Complications within 30 days of radical prostatectomy,"Percentage of radical prostatectomy patients who do not have any deviations from an uncomplicated recovery pathway within 30 days of the procedure

",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,Yes,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2020
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC21,Prostate Cancer: Opioid utilization after radical prostatectomy,"Percentage of patients who underwent radical prostatectomy and are discharged with ≤ 6 opioid pain pills (5mg oxycodone or equivalent) and do not get a prescription for opioids within 30 days of surgery

",N/A,Community/Population Health,Yes,Process,No,Yes,No,No,1,N/A,No,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2020
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC22,Prostate Cancer: Urinary continence at 12 months post-radical prostatectomy,"Percentage of radical prostatectomy patients that are socially continent (0 - 1 pads per day) at 12 months after surgery

",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,N/A,Yes,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2020
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC23,Renal Mass: Documentation of the RENAL score for patients with small renal mass diagnoses,"Percentage of patients diagnosed with a small renal mass (≤ 7 cm) and have their RENAL score documented in the medical record by the attending physician

",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,N/A,No,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2020
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC24,Kidney Stones: Post-ureteroscopy and shockwave lithotripsy imaging for any stones,"Percentage of patients who underwent imaging within 60 days after ureteroscopy or shockwave lithotripsy

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2020
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC25,Renal Mass: ED visit or Readmission within 30 days of radical nephrectomy,"Percentage of patients with a small renal mass (≤ 7 cm) who underwent a radical nephrectomy and experienced an ED visit or readmission within 30 days of the procedure

",N/A,Patient Safety,Yes,Outcome,Yes,Yes,No,No,1,N/A,No,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2020
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC26,Renal Mass: ED Visit or Readmission within 30 days of partial nephrectomy,"Percentage of patients with a small renal mass (≤ 7 cm) who underwent a partial nephrectomy and experienced an ED visit or readmission within 30 days of the procedure

",N/A,Patient Safety,Yes,Outcome,Yes,Yes,No,No,1,N/A,No,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2020
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC4,Prostate Cancer: Active Surveillance/Watchful Waiting for Low Risk Prostate Cancer Patients,"Proportion of patients with low-risk prostate cancer receiving active surveillance or watchful waiting

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2014
Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,MUSIC5,Prostate Cancer: Radical Prostatectomy Cases LOS,"Percentage of radical prostatectomy cases with a length of stay > 2 days

",N/A,Effective Clinical Care,Yes,Outcome,Yes,Yes,No,No,1,N/A,Yes,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2014
MIPSPRO ENTERPRISE,HM4,Functional Status Change for Patients With Upper-limb Functional Status Deficit,"Percentage of patients aged 13 years or older with a functional deficit related to the upper-limb who achieve a Minimal Clinically Important Difference (MCID) in QuickDASH or equivalent score that indicates a functional improvement greater than zero. Two rates will be reported:
•	The overall proportion of patients achieving an MCID in QuickDASH change score.
•	The Risk-Adjusted MCID proportional difference where the difference between the risk adjusted predicted MCID and the observed MCID (measured via QuickDASH or equivalent tool) proportion is greater than zero.

The measure contains two goals: 1) for patients to achieve an unadjusted MCID greater than zero and, 2) for patients to achieve a risk adjusted MCID where the difference between the risk adjusted predicted MCID and the observed MCID proportion will be greater than zero. The measure is adjusted to patient characteristics known to be associated with functional status and quality of life outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician level, and at the clinic level to assess quality.

Performance Rate Descriptions:

Submission Criteria 1: All patients",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,Yes,MIPSPRO ENTERPRISE,2020
MIPSPRO ENTERPRISE,HM5,Functional Status Change for Patients With Neck Functional Status Deficit,"Percentage of patients aged 18 years or older with a functional deficit related to the neck who achieve a Minimal Clinically Important Difference (MCID) in the Neck Disability Index (NDI) or equivalent score that indicates a functional improvement greater than zero. Two rates will be reported:
•	The overall proportion of patients achieving an MCID in NDI change score.
•	The Risk-Adjusted MCID proportional difference where the difference between the risk adjusted predicted MCID and the observed MCID (measured via NDI or equivalent tool) proportion is greater than zero.

The measure contains two goals: 1) for patients to achieve an unadjusted MCID greater than zero and, 2) for patients to achieve a risk adjusted MCID where the difference between the risk adjusted predicted MCID and the observed MCID proportion will be greater than zero. The measure is adjusted to patient characteristics known to be associated with functional status and quality of life outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician level, and at the clinic level to assess quality.

Performance Rate Descriptions:

Submission Criteria 1: All patients Neck (surgical)
Submission Criteria 2: All patients Neck (non-surgical)
Submission Criteria 3: All patients Neck (surgical and non-surgical)",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,3,3rd Performance Rate,Yes,MIPSPRO,2020
