title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,primarySteward,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,cardiology,electrophysiologyCardiacSpecialist,gastroenterology,dermatology,emergencyMedicine,generalPracticeFamilyMedicine,internalMedicine,obstetricsGynecology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,plasticSurgery,preventiveMedicine,neurology,mentalBehavioralHealth,diagnosticRadiology,interventionalRadiology,vascularSurgery,generalSurgery,thoracicSurgery,urology,generalOncology,radiationOncology,hospitalists,rheumatology,nephrology,infectiousDisease,neurosurgical,podiatry,dentistry,metricType,firstPerformanceYear,lastPerformanceYear,eMeasureUuid,isHighPriority,isInverse,numStrataClaims,numStrataRegistry,numStrataEcqm,overallAlgorithm,default,registry,claims,cmsWebInterface,electronicHealthRecord,isIcdImpacted,isToppedOutByProgram
Cataracts: Improvement in Patient's Visual Function within 90 Days Following Cataract Surgery,N/A,N/A,1536,303,"Percentage of patients aged 18 years and older who had cataract surgery and had improvement in visual function achieved within 90 days following the cataract surgery, based on completing a pre-operative and post-operative visual function survey ",Person and Caregiver-Centered Experience and Outcomes,Outcome,American Academy of Ophthalmology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_303_Registry.pdf,,,,FALSE,FALSE
Cataracts: Patient Satisfaction within 90 Days Following Cataract Surgery,N/A,N/A,N/A,304,"Percentage of patients aged 18 years and older  who had cataract surgery and were satisfied with their care within 90 days following the cataract surgery, based on completion of the Consumer Assessment of Healthcare Providers and Systems Surgical Care Survey",Person and Caregiver-Centered Experience and Outcomes,Outcome,American Academy of Ophthalmology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_304_Registry.pdf,,,,FALSE,FALSE
Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,CMS137v6,N/A,4,305,"Percentage of patients 13 years of age and older with a new episode of alcohol and other drug (AOD) dependence who received the following. Two rates are reported.
a. Percentage of patients who initiated treatment within 14 days of the diagnosis
b. Percentage of patients who initiated treatment and who had two or more additional services with an AOD diagnosis within 30 days of the initiation visit
",Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,X,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2017,NULL,,FALSE,FALSE,NULL,NULL,2,simpleAverage,,,,,https://ecqi.healthit.gov/ecqm/measures/cms137v6,FALSE,FALSE
Cervical Cancer Screening,CMS124v6,N/A,32,309," Percentage of women 21-64 years of age who were screened for cervical cancer using either of the following criteria:
-  Women age 21-64 who had cervical cytology performed every 3 years
-  Women age 30-64 who had cervical cytology/human papillomavirus (HPV) co-testing performed every 5 years
 ",Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,X,-,-,-,-,-,-,-,-,-,-,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,NULL,NULL,1,,,,,,https://ecqi.healthit.gov/ecqm/measures/cms124v6,FALSE,FALSE
Chlamydia Screening for Women,CMS153v6,N/A,33,310,Percentage of women 16-24 years of age who were identified as sexually active and who had at least one test for chlamydia during the measurement period,Community/Population Health,Process,National Committee for Quality Assurance,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,NULL,NULL,1,,,,,,https://ecqi.healthit.gov/ecqm/measures/cms153v6,FALSE,FALSE
Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,CMS22v6,N/A,N/A,317,Percentage of patients aged 18 years and older seen during the submitting period who were screened for high blood pressure AND a recommended follow-up plan is documented based on the current blood pressure (BP) reading as indicated,Community/Population Health,Process,Centers for Medicare & Medicaid Services,X,-,X,-,-,X,X,-,X,-,X,X,X,X,X,X,-,X,X,-,-,X,X,X,X,X,-,-,X,X,X,X,X,-,-,X,X,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,1,1,1,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_317_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_317_Claims.pdf,,https://ecqi.healthit.gov/ecqm/ep/2018/cms022v6,FALSE,FALSE
Falls: Screening for Future Fall Risk,CMS139v6,N/A,101,318,Percentage of patients 65 years of age and older who were screened for future fall risk during the measurement period,Patient Safety,Process,National Committee for Quality Assurance,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,NULL,1,,,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2018_WI_CARE2.pdf,https://ecqi.healthit.gov/ecqm/measures/cms139v6,FALSE,FALSE
Appropriate Follow-Up Interval for Normal Colonoscopy in Average Risk Patients,N/A,N/A,658,320,Percentage of patients aged 50 to 75 years of age receiving a screening colonoscopy without biopsy or polypectomy who had a recommended follow-up interval of at least 10 years for repeat colonoscopy documented in their colonoscopy report,Communication and Care Coordination,Process,American Gastroenterological Association,X,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,1,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_320_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_320_Claims.pdf,,,FALSE,FALSE
CAHPS for MIPs Clinician/Group Survey,N/A,N/A,0005 & 0006,321,"- Getting timely care, appointments, and information;
- How well providers Communicate;
- Patient's Rating of Provider;
- Access to Specialists;
- Health Promotion & Education;
- Shared Decision Making;
- Health Status/Functional Status;
- Courteous and Helpful Office Staff;
- Care Coordination; and
- Stewardship of Patient Resources",Person and Caregiver-Centered Experience and Outcomes,Patient Engagement/Experience,Agency for Healthcare Research & Quality,-,X,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cahps,2017,NULL,,TRUE,FALSE,NULL,NULL,NULL,,,,,,,FALSE,FALSE
Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Preoperative Evaluation in Low Risk Surgery Patients ,N/A,N/A,N/A,322,"Percentage of stress single-photon emission computed tomography (SPECT) myocardial perfusion imaging (MPI), stress echocardiogram (ECHO), cardiac computed tomography angiography (CCTA), or cardiac magnetic resonance (CMR) performed in low risk surgery patients 18 years or older for preoperative evaluation during the 12-month submission period",Efficiency and Cost Reduction,Efficiency,American College of Cardiology,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,TRUE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_322_Registry.pdf,,,,FALSE,FALSE
Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Routine Testing After Percutaneous Coronary Intervention (PCI),N/A,N/A,N/A,323,"Percentage of all stress single-photon emission computed tomography (SPECT) myocardial perfusion imaging (MPI), stress echocardiogram (ECHO), cardiac computed tomography angiography (CCTA), and cardiovascular magnetic resonance (CMR) performed in patients aged 18 years and older routinely after percutaneous coronary intervention (PCI), with reference to timing of test after PCI and symptom status",Efficiency and Cost Reduction,Efficiency,American College of Cardiology,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,TRUE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_323_Registry.pdf,,,,FALSE,FALSE
"Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Testing in Asymptomatic, Low-Risk Patients",N/A,N/A,N/A,324,"Percentage of all stress single-photon emission computed tomography (SPECT) myocardial perfusion imaging (MPI), stress echocardiogram (ECHO), cardiac computed tomography angiography (CCTA), and cardiovascular magnetic resonance (CMR) performed in asymptomatic, low coronary heart disease (CHD) risk patients 18 years and older for initial detection and risk assessment",Efficiency and Cost Reduction,Efficiency,American College of Cardiology,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,TRUE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_324_Registry.pdf,,,,FALSE,FALSE
Adult Major Depressive Disorder (MDD): Coordination of Care of Patients with Specific Comorbid Conditions ,N/A,N/A,N/A,325,"Percentage of medical records of patients aged 18 years and older with a diagnosis of major depressive disorder (MDD) and a specific diagnosed comorbid condition (diabetes, coronary artery disease, ischemic stroke, intracranial hemorrhage, chronic kidney disease [stages 4 or 5], End Stage Renal Disease [ESRD] or congestive heart failure) being treated by another clinician with communication to the clinician treating the comorbid condition",Communication and Care Coordination,Process,American Psychiatric Association,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_325_Registry.pdf,,,,FALSE,FALSE
Atrial Fibrillation and Atrial Flutter: Chronic Anticoagulation Therapy ,N/A,N/A,1525,326,Percentage of patients aged 18 years and older with nonvalvular atrial fibrillation (AF) or atrial flutter  who were prescribed warfarin OR another FDA- approved anticoagulant drug for the prevention of thromboembolism during the measurement period,Effective Clinical Care,Process,American College of Cardiology,X,-,-,-,-,X,-,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,1,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_326_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_326_Claims.pdf,,,FALSE,FALSE
Pediatric Kidney Disease: Adequacy of Volume Management,N/A,N/A,N/A,327,Percentage of calendar months within a 12-month period during which patients aged 17 years and younger with a diagnosis of End Stage Renal Disease (ESRD) undergoing maintenance hemodialysis in an outpatient dialysis facility have an assessment of the adequacy of volume management from a nephrologist,Effective Clinical Care,Process,Renal Physicians Association,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_327_Registry.pdf,,,,FALSE,FALSE
Pediatric Kidney Disease: ESRD Patients Receiving Dialysis: Hemoglobin Level < 10g/dL,N/A,N/A,1667,328,Percentage of calendar months within a 12-month period during which patients aged 17 years and younger with a diagnosis of End Stage Renal Disease (ESRD) receiving hemodialysis or peritoneal dialysis have a hemoglobin level < 10 g/dL,Effective Clinical Care, Intermediate Outcome,Renal Physicians Association,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,TRUE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_328_Registry.pdf,,,,FALSE,FALSE
Adult Kidney Disease: Catheter Use at Initiation of Hemodialysis ,N/A,N/A,N/A,329,"Percentage of patients aged 18 years and older with a diagnosis of End Stage Renal Disease (ESRD) who initiate maintenance hemodialysis during the measurement period, whose mode of vascular access is a catheter at the time maintenance hemodialysis is initiated",Effective Clinical Care,Outcome,Renal Physicians Association,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,TRUE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_329_Registry.pdf,,,,FALSE,FALSE
Adult Kidney Disease: Catheter Use for Greater Than or Equal to 90 Days,N/A,N/A,N/A,330,Percentage of patients aged 18 years and older with a diagnosis of End Stage Renal Disease (ESRD) receiving maintenance hemodialysis for greater than or equal to 90 days whose mode of vascular access is a catheter,Patient Safety,Outcome,Renal Physicians Association,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,TRUE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_330_Registry.pdf,,,,FALSE,FALSE
Adult Sinusitis: Antibiotic Prescribed for Acute Viral Sinusitis (Overuse) ,N/A,N/A,N/A,331,"Percentage of patients, aged 18 years and older, with a diagnosis of acute viral sinusitis who were prescribed an antibiotic within 10 days after onset of symptoms",Efficiency and Cost Reduction,Process,American Academy of Otolaryngology - Head and Neck Surgery,-,-,-,-,-,X,-,-,-,-,-,-,X,X,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,TRUE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_331_Registry.pdf,,,,FALSE,FALSE
Adult Sinusitis: Appropriate Choice of Antibiotic: Amoxicillin With or Without Clavulanate Prescribed for Patients with Acute Bacterial Sinusitis (Appropriate Use),N/A,N/A,N/A,332,"Percentage of patients aged 18 years and older with a diagnosis of acute bacterial sinusitis that were prescribed amoxicillin, with or without clavulanate, as a first line antibiotic at the time of diagnosis",Efficiency and Cost Reduction,Process,American Academy of Otolaryngology - Head and Neck Surgery,-,-,-,-,-,X,-,-,-,-,-,-,X,X,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_332_Registry.pdf,,,,FALSE,FALSE
Adult Sinusitis: Computerized Tomography (CT) for Acute Sinusitis (Overuse) ,N/A,N/A,N/A,333,Percentage of patients aged 18 years and older with a diagnosis of acute sinusitis who had a computerized tomography (CT) scan of the paranasal sinuses ordered at the time of diagnosis or received within 28 days after date of diagnosis,Efficiency and Cost Reduction,Efficiency,American Academy of Otolaryngology - Head and Neck Surgery,-,-,-,-,-,X,-,-,-,-,-,-,X,X,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,TRUE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_333_Registry.pdf,,,,FALSE,FALSE
Adult Sinusitis: More than One Computerized Tomography (CT) Scan Within 90 Days for Chronic Sinusitis (Overuse),N/A,N/A,N/A,334,Percentage of patients aged 18 years and older with a diagnosis of chronic sinusitis who had more than one CT scan of the paranasal sinuses ordered or received within 90 days after  date of diagnosis,Efficiency and Cost Reduction,Efficiency,American Academy of Otolaryngology - Head and Neck Surgery,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,TRUE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_334_Registry.pdf,,,,FALSE,FALSE
Maternity Care: Elective Delivery or Early Induction Without Medical Indication at >= 37 and < 39 Weeks (Overuse),N/A,N/A,N/A,335,"Percentage of patients, regardless of age, who gave birth during a 12-month period who delivered a live singleton at
>= 37 and < 39 weeks of gestation completed who had elective deliveries or early inductions without medical indication
",Patient Safety,Outcome,Centers for Medicare & Medicaid Services,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_335_Registry.pdf,,,,FALSE,FALSE
Maternity Care: Post-Partum Follow-Up and Care Coordination,N/A,N/A,N/A,336,"Percentage of patients, regardless of age, who gave birth during a 12-month period who were seen for post-partum care within 8 weeks of giving birth who received a breast feeding evaluation and education, post-partum depression screening, post-partum glucose screening for gestational diabetes patients, and family and contraceptive planning",Communication and Care Coordination,Process,Centers for Medicare & Medicaid Services,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_336_Registry.pdf,,,,FALSE,FALSE
"Psoriasis: Tuberculosis (TB) Prevention for Patients with Psoriasis, Psoriatic Arthritis and Rheumatoid Arthritis Patients on a Biological Immune Response Modifier
",N/A,N/A,N/A,337,Percentage of patients whose providers are ensuring active tuberculosis prevention either through yearly negative standard tuberculosis screening tests or are reviewing the patient's history to determine if they have had appropriate management for a recent or prior positive test,Effective Clinical Care,Process,American Academy of Dermatology,-,-,-,-,-,X,-,-,-,-,-,X,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_337_Registry.pdf,,,,FALSE,FALSE
HIV Viral Load Suppression,N/A,N/A,2082,338,"The percentage of patients, regardless of age, with a diagnosis of HIV with a HIV viral load less than 200 copies/mL at last HIV viral load test during the measurement year",Effective Clinical Care,Outcome,Health Resources and Services Administration,-,-,-,-,-,X,X,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_338_Registry.pdf,,,,FALSE,FALSE
HIV Medical Visit Frequency ,N/A,N/A,2079,340,"Percentage of patients, regardless of age with a diagnosis of HIV who had at least one medical visit in each 6 month period of the 24 month measurement period, with a minimum of 60 days between medical visits",Efficiency and Cost Reduction,Process,Health Resources and Services Administration,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_340_Registry.pdf,,,,FALSE,FALSE
Pain Brought Under Control Within 48 Hours,N/A,N/A,N/A,342,Patients aged 18 and older who report being uncomfortable because of pain at the initial assessment (after admission to palliative care services) who report pain was brought to a comfortable level within 48 hours,Person and Caregiver-Centered Experience and Outcomes,Outcome,National Hospice and Palliative Care Organization,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_342_Registry.pdf,,,,FALSE,FALSE
Screening Colonoscopy Adenoma Detection Rate ,N/A,N/A,N/A,343,The percentage of patients age 50 years or older with at least one conventional adenoma or colorectal cancer detected during screening colonoscopy,Effective Clinical Care,Outcome,American Society for Gastrointestinal Endoscopy,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_343_Registry.pdf,,,,FALSE,FALSE
"Rate of Carotid Artery Stenting (CAS) for Asymptomatic Patients, Without Major Complications (Discharged to Home by Post-Operative Day #2) ",N/A,N/A,N/A,344,Percent of asymptomatic patients undergoing CAS who are discharged to home no later than post-operative day #2,Effective Clinical Care,Outcome,Society for Vascular Surgeons,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_344_Registry.pdf,,,,FALSE,FALSE
Rate of Asymptomatic Patients Undergoing Carotid Artery Stenting (CAS) Who Are Stroke Free or Discharged Alive,N/A,N/A,1543,345,"Percent of asymptomatic patients undergoing CAS who are stroke free while in the hospital or discharged alive following surgery
",Effective Clinical Care,Outcome,Society for Vascular Surgeons,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_345_Registry.pdf,,,,FALSE,FALSE
Rate of Asymptomatic Patients Undergoing Carotid Endarterectomy (CEA) Who Are Stroke Free or Discharged Alive,N/A,N/A,1540,346,Percent of asymptomatic patients undergoing CEA who are stroke free or discharged alive following surgery,Effective Clinical Care,Outcome,Society for Vascular Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_346_Registry.pdf,,,,FALSE,FALSE
Rate of Endovascular Aneurysm Repair (EVAR) of Small or Moderate Non-Ruptured Infrarenal Abdominal Aortic Aneurysms (AAA) Who Are Discharged Alive,N/A,N/A,1534,347,"Percent of patients undergoing endovascular repair of small or moderate non-ruptured infrarenal abdominal aortic aneurysms (AAA) who are discharged alive
",Patient Safety,Outcome,Society for Vascular Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_347_Registry.pdf,,,,FALSE,FALSE
HRS-3: Implantable Cardioverter-Defibrillator (ICD) Complications Rate,N/A,N/A,N/A,348,Patients with physician-specific risk-standardized rates of procedural complications following the first time implantation of an ICD,Patient Safety,Outcome,The Heart Rhythm Society,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2017,NULL,,TRUE,TRUE,NULL,2,NULL,weightedAverage,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_348_Registry.pdf,,,,FALSE,FALSE
Total Knee Replacement: Shared Decision-Making: Trial of Conservative (Non-surgical) Therapy,N/A,N/A,N/A,350,"Percentage of patients regardless of age undergoing a total knee replacement with documented shared decision-making with discussion of conservative (non-surgical) therapy (e.g. nonsteroidal anti-inflammatory drug (NSAIDs), analgesics, weight loss, exercise, injections) prior to the procedure",Communication and Care Coordination,Process,American Association of Hip and Knee Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_350_Registry.pdf,,,,FALSE,FALSE
Total Knee Replacement: Venous Thromboembolic and Cardiovascular Risk Evaluation ,N/A,N/A,N/A,351,"Percentage of patients regardless of age undergoing a total knee replacement who are evaluated for the presence or absence of venous thromboembolic and cardiovascular risk factors within 30 days prior to the procedure (e.g. history of Deep Vein Thrombosis (DVT), Pulmonary Embolism (PE), Myocardial Infarction (MI), Arrhythmia and Stroke)",Patient Safety,Process,American Association of Hip and Knee Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_351_Registry.pdf,,,,FALSE,FALSE
Total Knee Replacement: Preoperative Antibiotic Infusion with Proximal Tourniquet,N/A,N/A,N/A,352,Percentage of patients regardless of age undergoing a total knee replacement who had the prophylactic antibiotic completely infused prior to the inflation of the proximal tourniquet,Patient Safety,Process,American Association of Hip and Knee Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_352_Registry.pdf,,,,FALSE,FALSE
