Vendor ID,measureId,title,description,NQS Domain ,Numerator,Denominator,Denominator Exclusions ,Denominator Exceptions ,Numerator Exclusions ,Number of performance rates to be  submitted                                                  ,"Indicate an Overall Performance Rate if more than 1 performance rate is to be submitted.                                        Specify which of the submitted rates will represent an overall performance rate for the measure or how an overall performance rate could be calculated based on the data submitted [for example, simple average of the performance rates submitted or weighted average (sum of the numerators divided by the sum of the denominators), etc.]                                                           (REQUIRED)",measureType,High Priority,Outcome,Inverse Measure,"Proportional Measure
",Continuous Variable Measure  ,Ratio Measure  ,Is the Measure Risk-Adjusted   ,Primary Steward,nqfId,firstPerformanceYear
1546118,IROMS10,Functional Improvement in low back rehabilitation of non-surgical patients with low pack pain measured via the validated Modified Low Back Pain Disability Questionnaire (MDQ).,"The average MDQ change score for patients with low back pain treated during the observation period will be reported.

Additionally, a risk-adjusted MDQ change difference score will be calculated by subtracting the predicted MDQ change score from the average MDQ change score for each patient, then average the adjusted scores for each physical therapist or physical therapy group.  The risk adjustment will be calculated using generalized linear modelling adjusting for: baseline MDQ score, baseline pain score, age, sex, smoking, comorbidities, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit).

These measures will serve as a physical or occupational therapy performance measure at the eligible physical or occupational therapist or physical or occupational therapy group level. Rate 1: Average MDQ Change Score, Rate 2: Risk-adjusted Average MDQ Change Score for each of the following: 1) Overall (all eligible patients), 2) non-surgical patients, 3 surgical patients.",Effective Clinical Care,Sum of MDQ average change in the score of all patients with low back pain from their initial visits and final visits in PT/OT practice or PT/OT group during the observation window.,"The number of patients with low back pain evaluated and treated by a physical therapist (PT) or Occupational Therapist (OT), or PT or OT Group, during the observation window.",Exclude patients who did not fill out 2 or more surveys.,"PT/OT can use their clinical judgement to exclude patients who are extremely medically complex, who in their experience are likely to make poor clinical progress.",Exclude patients who did not fill out 2 or more surveys.,2,Rate 2,Outcome,High Priority,Outcome,N,N,Y,N,Y,Intermountain ROMS,N/A,2018
1546118,IROMS2,Functional Improvement in knee rehabilitation of patients with knee injury measured via their validated Knee Outcome Survey (KOS) score.,"The average KOS change score for patients with knee injury patients treated during the observation period will be reported.

Additionally, a risk-adjusted KOS change difference score will be calculated by subtracting the predicted KOS change score from the average KOS change score for each patient, then average the adjusted scores for each physical or occupational therapist (PT or OT) or PT or OT group.  The risk adjustment will be calculated using generalized linear modelling adjusting for: baseline KOS score, baseline pain score, age, sex, smoking, comorbidities, payer, and symptom duration (time from surgery or injury to baseline PT/OT visit).

These measures will serve as a PT/OT performance measure at the eligible PT/OT or PT/OT group level. Rate 1: Average KOS Change Score, Rate 2: Risk-adjusted Average KOS Change Score.",Effective Clinical Care,Sum of KOS average change in the score of all patients with knee injuries from their initial visits and final visits in PT or OT practice or PT or OT Group practice during the observation window.,"The number of all patients with knee injury evaluated and treated by a PT or OT, or PT or OT Group, during the observation window.",Exclude patients who did not fill out 2 or more surveys.,"PT/OT can use their clinical judgement to exclude patients who are extremely medically complex, who in their experience are likely to make poor clinical progress.",Exclude patients who did not fill out 2 or more surveys.,2,Rate 2,Outcome,High Priority,Outcome,N,N,Y,N,Y,Intermountain ROMS,N/A,2018
1546118,IROMS8,"Functional Improvement in arm, shoulder, and hand rehabilitation in surgical patients with musculotendinous injury measured via the validated Disability of Arm Shoulder and Hand (DASH) score.","The average DASH change score for surgical patients with musculotendinous injury patients treated during the observation period will be reported.

Additionally, a risk-adjusted DASH change difference score will be calculated by subtracting the predicted DASH change score from the average DASH change score for each patient, then average the adjusted scores for each physical therapist or physical therapy group.  The risk adjustment will be calculated using generalized linear modelling adjusting for: baseline DASH score, baseline pain score, age, sex, smoking, comorbidities, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit).

These measures will serve as a physical and occupational therapy performance measure at the eligible physical or occupational therapist or physical or occupational therapy group level. Rate 1: Average DASH Change Score, Rate 2: Risk-adjusted Average DASH Change Score.",Effective Clinical Care,Sum of DASH measure change scores of all surgical patients with musculotendinous injuries from their initial visits and final visits in PT/OT practice or PT/OT group during the observation window.,"The number of surgical patients with arm, shoulder, or hand musculotendinous injury evaluated and treated by a physical therapist (PT) or Occupational Therapist (OT), or PT or OT Group, during the observation window.",Exclude patients who did not fill out 2 or more surveys.,"PT/OT can use their clinical judgement to exclude patients who are extremely medically complex, who in their experience are likely to make poor clinical progress.",Exclude patients who did not fill out 2 or more surveys.,2,Rate 2,Outcome,High Priority,Outcome,N,N,Y,N,Y,Intermountain ROMS,N/A,2018
1546118,IROMS9,Functional Improvement in neck pain/injury patients rehabilitation measured via the validated Neck Disability Index (NDI).,"The average NDI change score for neck pain/injury patients treated during the observation period will be reported.

Additionally, a risk-adjusted NDI change difference score will be calculated by subtracting the predicted NDI change score from the average NDI change score for each patient, then average the adjusted scores for each physical therapist or physical therapy group.  The risk adjustment will be calculated using generalized linear modelling adjusting for: baseline NDI score, baseline pain score, age, sex, smoking, comorbidities, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit).

These measures will serve as a physical or occupational therapy performance measure at the eligible physical or occupational therapist or physical or occupational therapy group level. Rate 1: Average NDI Change Score, Rate 2: Risk-adjusted Average NDI Change Score.",Effective Clinical Care,Sum of NDI average change in the score of all patients from their initial visits and final visits in PT/OT practice or PT/OT group during the observation window.,"The number of neck pain/injury patients evaluated and treated by a physical therapist (PT) or Occupational Therapist (OT), or PT or OT Group, during the observation window.",Exclude patients who did not fill out 2 or more surveys.,N/A,Exclude patients who did not fill out 2 or more surveys.,2,Rate 2,Outcome,High Priority,Outcome,N,N,Y,N,Y,Intermountain ROMS,N/A,2018
5846856,M2S1,M2S 1: Procedures with statin and antiplatelet agents prescribed at discharge,"This measure estimates the frequency of procedures where a statin and antiplatelet agent was prescribed at discharge for any of the following procedures: Infra-Inguinal Bypass, Supra-Inguinal Bypass, Peripheral Vascular Intervention, Carotid Artery Stent, Carotid Endarterectomy, Thoracic and Complex EVAR, Endovascular AAA Repair, and Open AAA Repair.
",Effective Clinical Care,"All procedures captured in the Vascular Quality Initiative® Infra-Inguinal Bypass, Supra-Inguinal Bypass, Peripheral Vascular Intervention, Carotid Artery Stent, Carotid Endarterectomy, Thoracic and Complex EVAR, Endovascular AAA Repair, and Open AAA Repair Registries where the patient was at least 18 years old at the time of the procedure, and the patient was discharged alive during the reporting period where a statin and antiplatelet agent were prescribed at discharge.","All procedures captured in the Vascular Quality Initiative® Infra-Inguinal Bypass, Supra-Inguinal Bypass, Peripheral Vascular Intervention, Carotid Artery Stent, Carotid Endarterectomy, Thoracic and Complex EVAR, Endovascular AAA Repair, and Open AAA Repair Registries where the patient was at least 18 years old at the time of the procedure, and the patient was discharged alive during the reporting period.
","Exclude procedures associated with patients who were not discharged on statins or antiplatelets due to a documented medical reason.
",n/a,n/a,1,n/a,Process,N/A,N/A,N,Y,N,N,N,Vascular Quality Initiative QCDR ,N/A,2017
5846856,M2S10,M2S 10: Survival at least 9 months after elective repair of small thoracic aortic aneurysms ,"This measure estimates freedom from death at least 9 months after elective repair of small thoracic aortic aneurysms in patients without a known connective tissue disorder.
",Effective Clinical Care,"All elective procedures for aneurysm repair captured in the Vascular Quality Initiative® Thoracic and Complex EVAR Registry during the calendar year prior to the reporting interval where maximum aortic diameter is less than or equal to 6 cm for women, or less than or equal to 6.5 cm for men at the index procedure, and with at least 9 month follow up and who are alive. All procedures are associated with patients who were at least 18 years old at the time of the procedure. ","All elective procedures for aneurysm repair captured in the Vascular Quality Initiative® Thoracic and Complex EVAR Registry during the calendar year prior to the reporting interval where maximum aortic diameter is less than or equal to 6 cm for women, or less than or equal to 6.5 cm for men at the index procedure, and with at least at least 9 month follow up. All procedures are associated with patients who were at least 18 years old at the time of the procedure.",Procedures associated with patients lost to follow up that are not dead are excluded from this measure. Procedures associated with patients with a known connective tissue disorder are excluded from this measure. Procedures associated with missing key data elements that are required to calculate the outcomes measure will be excluded from this measure. ,n/a,n/a,1,n/a,Outcome,High Priority,Outcome,N,Y,N,N,N,Vascular Quality Initiative QCDR ,N/A,2017
5846856,M2S11,M2S 11: Imaging-based maximum aortic diameter assessed at least 9 months following Endovascular AAA Repair procedures,This measure estimates the frequency of imaging-based maximum aortic diameter assessment at least 9 months after Endovascular AAA Repair procedures.,Communication and Care Coordination,"All Endovascular AAA Repair procedures captured in Vascular Quality Initiative® Endovascular AAA Repair Registry during the calendar year prior to the reporting where maximum aortic diameter was assessed during a follow up visit at least 9 months after surgery and who are alive. All procedures are associated with patients who were at least 18 years old at the time of the procedure.
",All Endovascular AAA Repair procedures captured in Vascular Quality Initiative® Endovascular AAA Repair Registry during the calendar year prior to the reporting interval. All procedures are associated with patients who were at least 18 years old at the time of the procedure.,Procedures associated with patients lost to follow up are excluded from this measure. This measure also excludes procedures that were converted to open.,n/a,n/a,1,n/a,Process,High Priority,N/A,N,Y,N,N,N,Vascular Quality Initiative QCDR ,N/A,2017
5846856,M2S12,"M2S 12: Survival at least 9 months after elective repair Endovascular AAA Repair of small abdominal aortic aneurysms
",This measure estimates freedom from death at least 9 months after elective repair of small abdominal aortic aneurysms.,Effective Clinical Care,"All elective procedures for aneurysm repair captured in the Vascular Quality Initiative® Endovascular AAA Repair Registry during the calendar year prior to the reporting interval where maximum aortic diameter is less than or equal to 5.5 cm for women, or less than or equal to 6.0 cm for men at the index procedure, and with at least 9 month follow up and who are alive. All procedures are associated with patients who were at least 18 years old at the time of the procedure.","All elective procedures for aneurysm repair captured in the Vascular Quality Initiative® Endovascular AAA Repair Registry during the calendar year prior to the reporting interval where maximum aortic diameter is less than or equal to 5.5 cm for women, or less than or equal to 6.0 cm for men at the index procedure, and with at least 9 month follow up. All procedures are associated with patients who were at least 18 years old at the time of the procedure.",Procedures associated with patients lost to follow up are excluded from this measure. Procedures associated with missing key data elements that are required to calculate the outcomes measure will be excluded from this measure.,n/a,n/a,1,n/a,Outcome,High Priority,Outcome,N,Y,N,N,N,Vascular Quality Initiative QCDR ,N/A,2017
5846856,M2S13,"M2S 13: Survival at least 9 months after elective Open AAA repair of small abdominal aortic aneurysms

",This measure estimates freedom from death at least 9 months after elective open repair of small abdominal aortic aneurysms.,Effective Clinical Care,"All elective procedures for aneurysm repair captured in the Vascular Quality Initiative® Open AAA Repair Registry during the calendar year prior to the reporting interval where maximum aortic diameter is less than or equal to 5.5 cm for women, or less than or equal to 6.0 cm for men at the index procedure, and with at least 9 month follow up who are alive. All procedures are associated with patients who were at least 18 years old at the time of the procedure.","All elective procedures for aneurysm repair captured in the Vascular Quality Initiative® Open AAA Repair Registry during the calendar year prior to the reporting interval where maximum aortic diameter is less than or equal to 5.5 cm for women, or less than or equal to 6.0 cm for men at the index procedure, and with at least 9 month follow up. All procedures are  associated with patients who were at least 18 years old at the time of the procedure.",Procedures associated with patients lost to follow up are excluded from this measure. Procedures associated with missing key data elements that are required to calculate the outcomes measure will be excluded from this measure.,n/a,n/a,1,n/a,Outcome,High Priority,Outcome,N,Y,N,N,N,Vascular Quality Initiative QCDR ,N/A,2017
5846856,M2S16,Absence of unplanned reoperation after closed lower extremity major amputation,"The percentage of patients undergoing closed lower extremity major amputation (below, thru or above knee) for ischemic arterial disease who do NOT have unplanned reoperation during the same admission for infection, bleeding or amputation revision.",Patient Safety,"All procedures captured in the Vascular Quality Initiative® Lower Extremity Amputation Registry where the patient was at least 18 years old at the time of the procedure and underwent closed lower extremity major amputation (below, thru or above knee) for ischemic arterial disease who did NOT have unplanned reoperation during the same admission for infection, bleeding or amputation revision during the reporting period.
","All procedures captured in the Vascular Quality Initiative® Lower Extremity Amputation Registry where the patient was at least 18 years old at the time of the procedure and underwent closed lower extremity major amputation (below, thru or above knee) for ischemic arterial disease during the reporting period.","Patients undergoing initial open amputation (who always require reoperation) and patients undergoing amputation for non-arterial etiologies, including trauma, neoplasm, infection and diabetic neuropathy without underlying arterial disease.
",n/a,"Patients undergoing initial open amputation (who always require reoperation) and patients undergoing amputation for non-arterial etiologies, including trauma, neoplasm, infection and diabetic neuropathy without underlying arterial disease.
",1,n/a,Outcome,High Priority,Outcome,N,Y,N,N,N,Vascular Quality Initiative QCDR ,N/A,2017
5846856,M2S17,M2S 17: Absence of serious technical complications during peripheral arterial intervention,"The percentage of patients undergoing lower extremity interventional treatment for arterial occlusive disease (including balloon angioplasty, stenting and atherectomy) who do NOT experience technical complications (Access site: stenosis, occlusion, AV fistula, hematoma or pseudoaneurysm, Thrombosis, Embolization, Perforation, or Dissection (target lesion or other artery) that require admission, or surgical or interventional treatment.",Patient Safety,"All procedures captured in the Vascular Quality Initiative® Peripheral Vascular Intervention Registry where the patient was at least 18 years old at the time of the procedure and underwent peripheral arterial intervention (balloon angioplasty, stenting or atherectomy) of the lower extremity (abdominal aorta and more distal) arteries for treatment of occlusive disease who did NOT experience technical complications (Access site: stenosis, occlusion, AV fistula, hematoma or pseudoaneurysm, Thrombosis, Embolization, Perforation, or Dissection (target lesion or other artery) that required hospital admission, or transfusion, surgical or interventional treatment prior to discharge during the reporting period.","All procedures captured in the Vascular Quality Initiative® Peripheral Vascular Intervention Registry where the patient was at least 18 years old at the time of the procedure and underwent peripheral arterial intervention (balloon angioplasty, stenting or atherectomy) of the lower extremity
 (abdominal aorta and more distal) arteries for treatment of occlusive disease during the reporting period.
","Patients undergoing interventional treatment for aneurysm disease or trauma.
",n/a,"Patients undergoing interventional treatment for aneurysm disease or trauma.
",1,n/a,Outcome,High Priority,Outcome,N,Y,N,N,N,Vascular Quality Initiative QCDR ,N/A,2017
9160056,M2S19,M2S 19: Proper patient selection for perforator vein ablation,"The percentage of patients undergoing treatment of incompetent lower extremity perforator veins with surgical or ablation treatment (radiofrequency, laser, mechanochemical, chemical, or embolic adhesive) who have CEAP clinical severity of disease C5 or C6 (venous ulcer or history of ulcer), and not less severe C1-4 disease.",Effective Clinical Care,"All procedures captured in the Vascular Quality Initiative® Varicose Vein Registry where the patient was at least 18 years old at the time of the procedure and underwent treatment of incompetent lower extremity perforator veins with surgical or ablation treatment (radiofrequency, laser, mechanochemical, chemical, or embolic adhesive) who had CEAP clinical severity of disease C5 or C6 (venous ulcer or history of ulcer) during the reporting period.","All procedures captured in the Vascular Quality Initiative® Varicose Vein Registry where the patient was at least 18 years old at the time of the procedure and underwent treatment of incompetent lower extremity perforator veins with surgical or ablation treatment (radiofrequency, laser, mechanochemical, chemical, or embolic adhesive) during the reporting period.",n/a,None,n/a,1,n/a,Process,N/A,N/A,N,Y,N,N,N,Vascular Quality Initiative QCDR ,N/A,2017
9160056,M2S2,"M2S 2: Amputation-free survival assessed at least 9 months following Infra-Inguinal Bypass for intermittent claudication

",This measure estimates freedom from amputation or death at least 9 months after Infra-Inguinal Bypass for intermittent claudication. ,Patient Safety,All procedures captured in the Vascular Quality Initiative® Infra-Inguinal Bypass Registry associated with patients who were at least 18 years old at the time of the procedure and with indication of claudication for the leg undergoing treatment during the calendar year prior to the reporting interval with at least 9 month follow up and who were alive and without minor or major amputation reported at a follow-up visit at least 9 months after the treatment.,All procedures captured in the Vascular Quality Initiative® Infra-Inguinal Bypass Registry associated with patients who were at least 18 years old at the time of the procedure and with indication of claudication for the leg undergoing treatment during the calendar year prior to the reporting interval with at least 9 month follow up.,Procedures associated with patients lost to follow up are excluded from this measure. Procedures associated with missing key data elements that are required to calculate the outcomes measure will be excluded from this measure.,n/a,n/a,1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,Vascular Quality Initiative QCDR ,N/A,2017
8483899,M2S5,M2S 5: Amputation-free survival at assessed at least 9 months following Peripheral Vascular Intervention for intermittent claudication,This measure estimates freedom from amputation or death at least 9 months after Peripheral  Vascular Intervention for intermittent claudication. ,Patient Safety,All procedures captured in the Vascular Quality Initiative® Peripheral Vascular Intervention Registry associated with patients who were at least 18 years old at the time of the procedure and with indication of claudication for the treated leg(s) undergoing Peripheral Vascular Intervention below external iliac during the calendar year prior to the reporting interval with at least at least 9 month follow up associated with patients who were alive and without minor or major amputation reported after the intervention.,All procedures captured in the Vascular Quality Initiative® Peripheral Vascular Intervention Registry associated with patients who were at least 18 years old at the time of the procedure and with indication of claudication for the treated leg(s) undergoing Peripheral Vascular Intervention below external iliac during the calendar year prior to the reporting interval with at least at least 9 month follow up.,Procedures associated with patients lost to follow up are excluded from this measure. Procedures associated with missing key data elements that are required to calculate the outcomes measure will be excluded from this measure.,N/A,n/a,1,n/a,Outcome,High Priority,Outcome,N,Y,N,N,N,Vascular Quality Initiative QCDR ,N/A,2017
8483899,M2S7 ,"M2S 7: Ipsilateral stroke-free survival at assessed at least 9 months following Carotid Artery Stenting for asymptomatic procedures

",This measure estimates freedom from stroke or death at least 9 months after carotid artery stenting for asymptomatic carotid stenosis. ,Effective Clinical Care,"All procedures captured in the Vascular Quality Initiative® Carotid Artery Stenting Registry for asymptomatic carotid stenosis during the calendar year prior to the reporting interval with at least 9 month follow up which are free of either stroke or death (any cause) after index carotid artery stenting. All procedures are associated with patients who were at least 18 years old at the time of the procedure.
",All procedures captured in the Vascular Quality Initiative® Carotid Artery Stenting Registry for asymptomatic carotid stenosis during the calendar year prior to the reporting interval with at least 9 month follow up. All procedures are associated with patients who were at least 18 years old at the time of the procedure.,Procedures associated with patients lost to follow up are excluded from this measure. Procedures associated with missing key data elements that are required to calculate the outcomes measure will be excluded from this measure.,n/a,n/a,1,n/a,Outcome,High Priority,Outcome,N,Y,N,N,N,Vascular Quality Initiative QCDR ,N/A,2017
8483899,M2S8," M2S 8: Ipsilateral stroke-free survival assessed at least 9 months following isolated Carotid Endarterectomy for asymptomatic procedures

",This measure estimates freedom from stroke or death at least 9 months after carotid endarterectomy for asymptomatic carotid artery stenosis. ,Effective Clinical Care,"All procedures captured in the Vascular Quality Initiative® Carotid Endarterectomy Registry for carotid endarterectomy for asymptomatic disease during the calendar year prior to the reporting interval with at least 9 month follow up which are free of either stroke or death (any cause) after index carotid endarterectomy. All procedures are associated with patients who were at least 18 years old at the time of the procedure.
",All procedures captured in the Vascular Quality Initiative® Carotid Endarterectomy Registry for carotid endarterectomy for asymptomatic disease during the calendar year prior to the reporting interval with at least 9 month follow up. All procedures are associated with patients who were at least 18 years old at the time of the procedure. ,"Procedures associated with patients lost to follow up are excluded from this measure. This measure also excludes combined Coronary Artery Bypass Graft procedures, and excludes combined proximal or distal intervention or other combined arterial procedures. Procedures associated with missing key data elements that are required to calculate the outcomes measure will be excluded from this measure.",n/a,n/a,1,n/a,Outcome,High Priority,Outcome,N,Y,N,N,N,Vascular Quality Initiative QCDR ,N/A,2017
8483899,M2S9,M2S 9: Imaging-based maximum aortic diameter assessed at least 9 months following Thoracic and Complex EVAR procedures,This measure estimates the frequency of imaging-based maximum aortic diameter assessment at least 9 months after Thoracic and Complex EVAR procedures.,Communication and Care Coordination,"All Thoracic and Complex EVAR procedures captured in Vascular Quality Initiative® Thoracic and Complex EVAR Registry during the calendar year prior to the reporting interval with at least 9 month follow up, where the follow up included a CT scan or MR documenting the maximum aortic diameter. All procedures are associated with patients who were at least 18 years old at the time of the procedure.
","All Thoracic and Complex EVAR procedures captured in Vascular Quality Initiative® Thoracic and Complex EVAR Registry during the calendar year prior to the reporting interval. All procedures are associated with patients who were at least 18 years old at the time of the procedure.
",Procedures associated with patients lost to follow up are excluded from this measure. This measure also excludes conversion to open.,n/a,n/a,1,n/a,Process,High Priority,N/A,N,Y,N,N,N,Vascular Quality Initiative QCDR ,N/A,2017
8483899,MA1,Case Delay,Percentage of anesthesia cases or procedures which are delayed greater than 15 minutes after the scheduled start with a reason indicated. Rate 1: Advance 3B - Procedure delayed from scheduled start time; Rate 2: Advance 3C - Reason for delay indicated,Communication and Care Coordination,"Cases that are delayed from scheduled start and have a reason indicated.
Definition: Any procedure that is delayed form the scheduled start time and has a reason
indicated by the anesthesia provider of care.
Reporting of the delay may include, but is not limited to:
• Anesthesia Late
• Contamination of Case
• Missing Labs
• Operating/Procedure Room Not Ready
• OR Staff Delay
• Paperwork Incomplete
• Pre-op Staff Delay
• Previous Case Ran Over
• Scheduling Error
• Surgeon Late
• Surgical Consent Missing
• Surgical H&P Missing","All patients, regardless of age, who undergo a procedure under anesthesia.

Definition: Any procedure including surgical, therapeutic or diagnostic","Cases that were not scheduled in advance and are add-ons the day of surgery
• Previous surgical case was delayed
• Emergent cases identified by ASA Physical Status indicating case is emergent by using ‘E’
designation
• Organ Donors as designated by ASA Physical Status 6",N/A,N/A,2,Rate 2,Efficiency,High Priority,N/A,Y,Y,N,N,N,Advance QCDR,N/A,2017
8483899,MA3,Corneal Abrasion,"Percentage of patients, aged 18 years or older, who undergo anesthesia care and did not have a new diagnosis of corneal injury within 24 hours of anesthesia",Person and Care-giver-Centered Experiences and Outcomes,All patients who undergo anesthesia care and who do not have a new diagnosis of corneal injury within 24 hours of anesthesia end time. ,"All patients, aged 18 and older, who undergo anesthesia care, except those with pre-existing eye trauma or those patients undergoing ophthalmologic surgery.","- Patients who undergo ophthalmologic surgery or patients with a diagnosis of either eye trauma or corneal injury before anesthesia care.

- Organ Donors as designated by ASA Physical Status 6 ",N/A,N/A,1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,Advance QCDR,N/A,2018
8483899,MBHR1,Anxiety Utilization of the GAD-7 Tool,"The percentage of adult patients (18 years and older) with an anxiety disorder diagnosis (generalized anxiety disorder, social anxiety disorder, post-traumatic stress disorder, or panic disorder) who have completed GAD-7 tool during measurement period",Community/Population Health,"Adult patients (18 years of age or older) included in the denominator who have at least one GAD-7 tool administered and completed during a four-month measurement period. If positive (i.e., score equal to or greater than 10), this suggests a probable anxiety diagnosis which requires documentation of an appropriate follow-up plan such as further evaluation or referral to treatment. ","Adult patients (18 years of age or older) with an anxiety disorder diagnosis (generalized anxiety disorder, social anxiety disorder, post-traumatic stress disorder, or panic disorder)   F40.1 Social phobias
F40.10 Social phobia, unspecified
F40.11 Social phobia, generalized
F41.0 Panic disorder without agoraphobia
F41.1 Generalized anxiety disorder
F41.3 other mixed anxiety disorders
F41.8 other specified anxiety disorders
F41.9 anxiety disorder unspecified
F43.1 Post-traumatic stress disorder (PTSD)
F43.10 Post-traumatic stress disorder, unspecified
F43.11 Post-traumatic stress disorder, acute
F43.12 Post-traumatic stress disorder, chronic","Patients who die, are a permanent resident of a nursing home or are enrolled in hospice are excluded from this measure. Additionally, patients who have a diagnosis of schizophrenia or psychotic disorder.
F20.0 Paranoid schizophrenia, F20.1 Disorganized schizophrenia, F20.2 Catatonic schizophrenia, F20.3 Undifferentiated schizophrenia, F20.5 Residual schizophrenia, F20.81 Schizophreniform disorder, F20.89 Other schizophrenia, F20.9 Schizophrenia, unspecified, F23 Brief psychotic disorder, F25.0 Schizoaffective disorder, bipolar type, F25.1 Schizoaffective disorder, depressive type, F25.8 Other schizoaffective disorders, F25.9 Schizoaffective disorder, unspecified, F28 Other psychotic disorder not due to a substance or known physiological condition",none,none,1,n/a,Process,N/A,N/A,N,Y,N,N,N,MBHR- Mental and Behavioral Health Registry,N/A,2018
1718371,MBHR2,Anxiety Response at 6-months,"The percentage of adult patients (18 years of age or older) with an anxiety disorder (generalized anxiety disorder, social anxiety disorder, post-traumatic stress disorder, or panic disorder) who demonstrated a response to treatment at six months (+/- 60 days) after an index visit",Effective Clinical Care,"The number of patients in the denominator who demonstrated a response to treatment, with a GAD-7 result that is reduced by 25% or greater from the index GAD-7 score, six months (+/- 60 days) after an index visit","Adult patients (18 years of age or older) with an anxiety disorder (generalized anxiety disorder, social anxiety disorder, post-traumatic stress disorder, or panic disorder) and an initial (index) GAD-7 score of 8 or higher. ","Patients who die, are a permanent resident of a nursing home or are enrolled in hospice are excluded from this measure. Additionally, patients who have a diagnosis of schizophrenia or psychotic disorder.",none,none,1,n/a,Patient Reported Outcome,High Priority,Outcome,N,Y,N,N,Y,MBHR- Mental and Behavioral Health Registry,N/A,2018
8483899,MBSAQIP10,Risk standardized rate of patients who experienced a postoperative escalation in care event following a primary Laparoscopic Roux-en-Y Gastric Bypass or  Laparoscopic Sleeve Gastrectomy operation,Primary Laparoscopic Roux-en-Y Gastric Bypass or Laparoscopic Sleeve Gastrectomy  patients who experienced a postoperative escalation in care event,Effective Clinical Care,"Primary Laparoscopic Roux-en-Y Gastric Bypass or Laparoscopic Sleeve Gastrectomy patients who meet any of the following 4 criteria:

(1) Readmission within 30 days of surgery
(2) Reoperation within 30 days of surgery
(3) Intervention within 30 days of surgery
(4) Admission to ICU within 30 days of surgery
",All patients undergoing a primary Laparoscopic Roux-en-Y Gastric Bypass or Laparoscopic Sleeve Gastrectomy,None,None,"None
",1,N/A,Composite,High Priority,Outcome,Y,Y,N,N,Y,Metabolic and Bariatric Surgery Accreditation and Quality Improvement Program (MBSAQIP),N/A,2018
8483899,MBSAQIP11,Risk standardized rate of patients who experienced a pulmonary complication following a primary Laparoscopic Roux-en-Y Gastric Bypass or  Laparoscopic Sleeve Gastrectomy,Primary Laparoscopic Roux-en-Y Gastric Bypass or Laparoscopic Sleeve Gastrectomy  patients who experienced a pulmonary complication,Effective Clinical Care,"Primary Laparoscopic Roux-en-Y Gastric Bypass or Laparoscopic Sleeve Gastrectomy  patients who meet any of the following 4 criteria:

(1) Pneumonia within 30 days of surgery
(2) Unplanned Intubation within 30 days of surgery
(3) Pulmonary Embolism within 30 days of surgery
(4) On Ventilator > 48 Hours within 30 days of surgery  ",All patients undergoing a primary Laparoscopic Roux-en-Y Gastric Bypass or Laparoscopic Sleeve Gastrectomy,None,None,"Patients will be excluded from the numerator if only numerator criteria (1) or (4) are met and they have PATOS (Present At Time Of Surgery) modifiers for each pneumonia or ventilator > 48 hours occurrences
",1,N/A,Composite,High Priority,Outcome,Y,Y,N,N,Y,Metabolic and Bariatric Surgery Accreditation and Quality Improvement Program (MBSAQIP),N/A,2018
8483899,MBSAQIP12,Risk standardized rate of patients who experienced a postoperative complication following a primary Laparoscopic Roux-en-Y Gastric Bypass or  Laparoscopic Sleeve Gastrectomy operation,Primary Laparoscopic Roux-en-Y Gastric Bypass or Laparoscopic Sleeve Gastrectomy  patients who experienced a postoperative complication,Effective Clinical Care,"Primary Laparoscopic Roux-en-Y Gastric Bypass or Laparoscopic Sleeve Gastrectomy patients who meet any of the following 3 criteria:

(1) Blood transfusion within 72 hours of surgery start time
(2) Surgical Site Infection (SSI) within 30 days of surgery
(3) Urinary Tract Infection (UTI) within 30 days of surgery ",All patients undergoing a primary Laparoscopic Roux-en-Y Gastric Bypass or Laparoscopic Sleeve Gastrectomy,None,None,"Patients will be excluded from the numerator if only numerator criteria (2) or (3) are met and they have PATOS (Present At Time Of Surgery) modifiers for each SSI or UTI complication
",1,N/A,Composite,N/A,N/A,Y,Y,N,N,Y,Metabolic and Bariatric Surgery Accreditation and Quality Improvement Program (MBSAQIP),N/A,2018
8483899,MBSAQIP7,"Risk standardized rate of patients who experienced postoperative nausea, vomiting or fluid/electrolyte/nutritional depletion following a primary Laparoscopic Roux-en-Y Gastric Bypass or  Laparoscopic Sleeve Gastrectomy operation","Primary Laparoscopic Roux-en-Y Gastric Bypass or Laparoscopic Sleeve Gastrectomy  patients who experienced postoperative nausea, vomiting or fluid/electrolyte/nutritional depletion",Effective Clinical Care,"Primary Laparoscopic Roux-en-Y Gastric Bypass or Laparoscopic Sleeve Gastrectomy  patients who experienced postoperative nausea, vomiting or fluid/electrolyte/nutritional depletion within 30 days of surgery",All patients undergoing a primary Laparoscopic Roux-en-Y Gastric Bypass or Laparoscopic Sleeve Gastrectomy,None,None,"None
",1,N/A,Outcome,High Priority,Outcome,Y,Y,N,N,Y,Metabolic and Bariatric Surgery Accreditation and Quality Improvement Program (MBSAQIP),N/A,2017
