QCDR Name,Measure ID,Measure Title,Measure Description ,NQF Number  (if applicable),NQS Domain ,High Priority,Measure Type,Inverse Measure,"Proportional Measure 
",Continuous Variable Measure  ,Ratio Measure  ,Number of performance rates to be  submitted                                                  ,Overall Algorithm,Is the Measure Risk-Adjusted   ,Primary Steward,First Performance Year 
National Pathology Quality Registry (NPQR),NPQR8,Rate of review of slides with high-grade squamous intraepithelial lesion (HSIL) with negative cervical biopsies,Rate of review all available slides with high-grade squamous epithelial lesion (HSIL) Pap tests with subsequent cervical biopsies negative for dysplasia within 6 months.,N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,National Pathology Quality Registry (NPQR),2018
National Pathology Quality Registry (NPQR),NPQR9,Rate of follow up letter after high-grade squamous intraepithelial lesion (HSIL) pap test,Rate of follow up notifications submitted to the responsible provider when a patient has the diagnosis of high-grade squamous epithelial lesion (HSIL) on a Pap test and has had no cervical biopsies within 6 months (+/- 2 weeks).,N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,National Pathology Quality Registry (NPQR),2018
New Hampshire Colonoscopy Registry (NHCR),GIQIC12,Appropriate indication for colonoscopy,Percentage of colonoscopy procedures performed for an indication that is included in a published standard list of appropriate indications and the indication is documented,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,GIQuIC,2017
New Hampshire Colonoscopy Registry (NHCR),GIQIC15,Appropriate follow-up interval of 3 years recommended based on pathology findings from screening colonoscopy in average-risk patients,"Percentage of average-risk patients aged 50 years and older receiving a screening colonoscopy with biopsy or polypectomy and pathology findings of 3-10 adenomas, Advanced Neoplasm (>= 10 mm, high grade dysplasia, villous component), Sessile serrated polyp >= 10 mm OR sessile serrate polyp with dysplasia OR traditional serrated adenoma who had a recommended follow-up interval of 3 years for repeat colonoscopy",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,"GIQuIC, New Hampshire Colonoscopy Registry (NHCR)",2017
New Hampshire Colonoscopy Registry (NHCR),GIQIC17,Appropriate follow-up interval of 5 years for colonoscopies with findings of sessile serrated polyps < 10 mm without dysplasia,Percentage of average-risk patients aged 50 years and older receiving a screening colonoscopy with biopsy or polypectomy and pathology findings of sessile serrated polyp(s) < 10 mm without dysplasia with a recommended follow-up interval of 5 years for repeat colonoscopy documented in their colonoscopy report,N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,GIQuIC,2018
New Hampshire Colonoscopy Registry (NHCR),GIQIC21,Appropriate follow-up interval of not less than 5 years for colonoscopies with findings of 1-2 tubular adenomas < 10 mm OR of 10 years for colonoscopies with only hyperplastic polyp findings in rectum or sigmoid,"Percentage of average-risk patients aged 50 years to 75 years receiving a screening colonoscopy with biopsy or polypectomy and pathology findings of 1 of 2 tubular adenomas < 10 mm with a recommended follow-up interval of not less than 5 years OR pathology findings of only hyperplastic polyp findings in rectum or sigmoid with a recommended follow-up interval of 10 years for repeat colonoscopy documented in their colonoscopy report
Rate 1: 1 to 2 tubular adenomas < 10 mm OR Rate 2: only hyperplastic polyp(s) in rectum or sigmoid",N/A,Efficiency and Cost Reduction,Yes,Process,No,Yes,No,No,2,Weighted Average,No,GIQuIC,2019
New Hampshire Colonoscopy Registry (NHCR),NHCR4,Repeat screening or surveillance colonoscopy recommended within one year due to inadequate/poor bowel preparation,Percentage of patients recommended for repeat screening or surveillance colonoscopy within one year or less due to inadequate/poor bowel preparation quality,N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,New Hampshire Colonoscopy Registry (NHCR),2017
New Hampshire Colonoscopy Registry (NHCR),NHCR5,Repeat colonoscopy recommended due to piecemeal resection,Percentage of exams with polyps removed by piecemeal excision who are told to return in appropriate interval (<=1 year),N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,New Hampshire Colonoscopy Registry (NHCR),2017
Oberd,CCOME4,Patient-Reported Pain and/or Function Improvement after ACLR Surgery,"Percentage of patients 13 years of age and older who obtained at least a 10% improvement in knee pain and/or function as measured by validated patient-reported outcome measures (PROMs) completed up to 90 days prior to and 9 to 15 months after undergoing primary anterior cruciate ligament reconstruction (ALCR) surgery. PROMs include any validated measures of knee-related measures of pain and/or function, such as KOOS-Pain, KOOS-ADL, KOOS-PS, and KOOS-JR.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,Cleveland Clinic OME,2017
Oberd,CCOME6,Patient-Reported Pain and/or Function Improvement after APM Surgery,"Percentage of patients 13 years of age and older who obtained at least a 10% improvement in knee pain and/or function as measured by validated patient-reported outcome measures (PROMs) completed up to 90 days prior to and 9 to 15 months after undergoing primary arthroscopic partial meniscectomy (APM) surgery. PROMs include any validated measures of knee-related measures of pain and/or function, such as KOOS-Pain, KOOS-ADL, KOOS-PS, and KOOS-JR.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,Cleveland Clinic OME,2018
Oberd,IROMS11,"Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) to indicate functional improvement in knee rehabilitation of patients with knee injury measured via their validated Knee Outcome Survey (KOS) score, or equivalent instrument which has undergone peer reviewed published validation and demonstrates a peer reviewed published MCID.","The proportion of patients failing to achieve an MCID of ten (10) points or more improvement in the KOS change score for patients with knee injury patients treated during the observation period will be reported.  

Additionally, a risk-adjusted MCID proportional difference will be determined by calculating the difference between the risk model predicted and observed MCID proportion will reported for each physical therapist or physical therapy group.  The risk adjustment will be calculated using a logistic regression model using: baseline KOS score, baseline pain score, age, sex, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit).    

These measures will serve as a PT/OT performance measure at the eligible PT/OT or PT/OT group level.

Six measures will be reported, two overall performance measures and four stratified performance measures are to be included: 

Rate 1: Overall proportion of patients not achieving an MCID in KOS change score will be reported. 
Rate 2: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via KOS) proportion will reported. 

For operative (surgical) patients:
Rate 3: The proportion of patients not achieving an MCID in KOS change score will be reported. 
Rate 4: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via KOS) proportion will reported. 

For non-operative (non-surgical) patients:
Rate 5: The proportion of patients not achieving an MCID in KOS change score will be reported. 
Rate 6: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via KOS) proportion will reported.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),Yes,Yes,No,No,6,2nd Performance Rate,Yes,Intermountain ROMS,2019
Oberd,IROMS13,"Failure to Progress (FTP): Proportion of patients not achieving a Minimal Clinically Important Difference (MCID) to indicate functional improvement in rehabilitation of patients with hip, leg or ankle injuries using the validated Lower Extremity Function Scale (LEFS) score, or equivalent instrument which has undergone peer reviewed published validation and demonstrates a peer reviewed published MCID.","The proportion of patients failing to achieve an MCID of nine (9) points or more improvement in the LEFS change score for patients with hip, leg, or ankle injuries treated during the observation period will be reported.  

Additionally, a risk-adjusted MCID proportional difference will be determined by calculating the difference between the risk model predicted and observed MCID proportion will reported for each physical therapist or physical therapy group.  The risk adjustment will be calculated using a logistic regression model using: baseline LEFS score, baseline pain score, age, sex, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit).  

These measures will serve as a physical or occupational therapy performance measure at the eligible physical or occupational therapist or physical or occupational therapy group level.

Six measures will be reported, two overall performance measures and four stratified performance measures are to be included: 
Rate 1:  Overall proportion of patients achieving an MCID in LEFS change score will be reported. 
Rate 2: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via LEFS) proportion will reported.                                     

For operative (surgical) patients:
Rate 3: The proportion of patients not achieving an MCID in LEFS change score will be reported. 
Rate 4: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via LEFS) proportion will reported. 

For non-operative (non-surgical) patients:
Rate 5: The proportion of patients not achieving an MCID in LEFS change score will be reported. 
Rate 6: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via LEFS) proportion will reported.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),Yes,Yes,No,No,6,2nd Performance Rate,Yes,Intermountain ROMS,2019
Oberd,IROMS15,Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) to indicate functional improvement in rehabilitation of patients with neck pain/injury measured via the validated Neck Disability Index (NDI).,"The proportion of patients failing to achieve an MCID of ten (10) points or more improvement in the NDI change score for neck pain/injury patients treated during the observation period will be reported.  

Additionally, a risk-adjusted NDI change proportional difference will be determined by calculating the difference between the risk model predicted and observed MCID proportion will reported for each physical therapist or physical therapy group.  The risk adjustment will be calculated using a logistic regression model using: baseline NDI score, baseline pain score, age, sex, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit).

These measures will serve as a physical or occupational therapy performance measure at the eligible physical or occupational therapist or physical or occupational therapy group level.

Six measures will be reported, two overall performance measures and four stratified performance measures are to be included: 

Rate 1:  Overall proportion of patients achieving an MCID in NDI change score will be reported. 
Rate 2: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via NDI) proportion will reported. 

For operative (surgical) patients:
Rate 3: The proportion of patients not achieving an MCID in NDI change score will be reported. 
Rate 4: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via NDI) proportion will reported. 

For non-operative (non-surgical) patients:
Rate 5: The proportion of patients not achieving an MCID in NDI change score will be reported. 
Rate 6: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via NDI) proportion will reported.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),Yes,Yes,No,No,6,2nd Performance Rate,Yes,Intermountain ROMS,2019
Oberd,IROMS17,Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) to indicate functional improvement in rehabilitation patients with low back pain measured via the validated Modified Low Back Pain Disability Questionnaire (MDQ) score.,"The proportion of patients failing to achieve an MCID of six (6) points or more improvement in the MDQ change score for patients with low back pain treated during the observation period will be reported.  

Additionally, a risk-adjusted MCID proportional difference will be determined by calculating the difference between the risk model predicted and observed MCID proportion will reported for each physical therapist or physical therapy group.  The risk adjustment will be calculated using a logistic regression model using: baseline MDQ score, baseline pain score, age, sex, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit).  

These measures will serve as a physical or occupational therapy performance measure at the eligible physical or occupational therapist or physical or occupational therapy group level.

Six measures will be reported, two overall performance measures and four stratified performance measures are to be included: 

Rate 1: Overall proportion of patients not achieving an MCID in MDQ change score will be reported. 
Rate 2: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via MDQ) proportion will reported. 

For operative (surgical) patients:
Rate 3: The proportion of patients not achieving an MCID in MDQ change score will be reported. 
Rate 4: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via MDQ) proportion will reported. 

For non-operative (non-surgical) patients:
Rate 5: The proportion of patients not achieving an MCID in MDQ change score will be reported. 
Rate 6: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via MDQ) proportion will reported.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),Yes,Yes,No,No,6,2nd Performance Rate,Yes,Intermountain ROMS,2019
Oberd,IROMS19,"Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) to indicate functional improvement in rehabilitation of patients with arm, shoulder, and hand injury measured via the validated Disability of Arm Shoulder and Hand (DASH) score, Quick Disability of Arm Shoulder and Hand (QDASH) score, or equivalent instrument which has undergone peer reviewed published validation and demonstrates a peer reviewed published MCID.","The proportion of patients failing to achieve an MCID of ten (10) points or more improvement in the DASH change score or eight (8) points or more improvement in the QDASH change score for patients with arm, shoulder, and hand injury patients treated during the observation period will be reported.  

Additionally, a risk-adjusted DASH change proportional difference will be determined by calculating the difference between the risk model predicted and observed MCID proportion will reported for each physical therapist or physical therapy group.  The risk adjustment will be calculated using a logistic regression model using: baseline MDQ score, baseline pain score, age, sex, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit).

These measures will serve as a physical and occupational therapy performance measure at the eligible physical or occupational therapist or physical or occupational therapy group level. Six measures will be reported, two overall performance measures and four stratified performance measures are to be included: 
Rate 1: Overall proportion of patients achieving an MCID in DASH change score will be reported. 
Rate 2: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via DASH) proportion will reported. 

For operative (surgical) patients: 
Rate 3: The proportion of patients not achieving an MCID in DASH change score will be reported. 
Rate 4: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via DASH) proportion will reported. 

For non-operative (non-surgical) patients:
Rate 5: The proportion of patients not achieving an MCID in DASH change score will be reported.
Rate 6: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via DASH) proportion will reported.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),Yes,Yes,No,No,6,2nd Performance Rate,Yes,Intermountain ROMS,2019
Oberd,MEX4,Bunion Outcome - Adult and Adolescent,Percentage of patients with a who have a hallux valgus (bunion) deformity causing pain,N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,MedXpress Registry,2018
Oberd,MEX5,Hammer Toe Outcome,"Percentage of patients who have a painful hammer toe, claw toe, mallet toe or other lesser toe deformity causing disability",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,MedXpress Registry,2018
Oberd,OBERD22,Post Stroke Outcome and Follow-Up,"This measure quantifies the quality of care of stroke patients by means of their change in score on a stroke-related patient reported outcome (PRO) instrument. The patient must have a diagnosis of index ischemic stroke (IS), intracerebral hemorrhage (ICH), or transient ischemic attack (TIA); must have completed the PRO instrument at discharge or within 7 days of the diagnosed event (the ""baseline"" measurement); and must have completed the same PRO between 90 and 120 days after the baseline (the ""follow-up"" measurement)",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,Oberd,2017
Oberd,OBERD23,Health Related Quality of Life: Patient Defined Outcomes,"The finger dexterity goal of a guitarist is poorly measured by a standard question about difficulty buttoning a coat. The object of this measure is to track changes in the level of difficulty, which patients experience in performing a self-defined activity that is especially meaningful to their own quality of life intervention. The level of difficulty is rated on a 0-10 points scale for the self-defined activity and will be assessed based on comparison between pre-intervention and post-intervention scores.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,Oberd,2017
Oberd,OBERD25,Tracking Satisfaction Improvement with CG-CAHPS,"This is an outcome measure: it measures actual improvement in patient satisfaction. It uses the same scoring approach, which underlies the statistics which CG-CAHPS reports annually. Each individual form is scored as the percentage of questions for which the EC received the top mark; the two most recent forms for each patient are compared; the percentage of patients whose scores did not go down is reported.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,Oberd,2017
Oberd,OBERD28,Hip Functional Outcomes,"Percentage of patients 18 years of age and older who completed a baseline and, within the CY(calendar year) reporting period of Jan. 1, 20xx - Dec.31, 20xx, a follow-up patient-reported hip functional assessment (e.g. Harris Hip Score, HOOS, HOOS-PS, HOOS Jr, Oxford Hip,  or equivalent CAT assessment if available) that  showed a statistically significant improvement in comparison to initial assessment or who had already reported a score in which there is no room for statistical improvement. The use of Patient Reported Outcomes (PROs) in clinical research is well documented.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,Oberd,2018
Oberd,OBERD31,Quality of Life-Mental Health Outcomes,"Percentage of patients 18 years of age and older who completed a baseline and, within the CY(calendar year) reporting period of Jan. 1, 20xx - Dec.31, 20xx, follow-up quality of life (QoL) patient-reported outcomes assessment (VR-12, SF-12, SF-36, PROMIS Global 10 or equivalent Computer Adaptive Test (CAT) assessment if available) which yielded a mental component score that showed a statistically significant improvement in comparison to initial assessment or who had already reported a score in which there is no room for statistical improvement. The use of Patient Reported Outcomes (PROs) in clinical research is well documented. In addition, the AAOS Quality Outcomes Work Group recommends that QoL PROs in the clinical setting can lead to improved care.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Engagement/Experience,No,Yes,No,No,1,1st Performance Rate,No,Oberd,2018
Oberd,OBERD32,Quality of Life - Physical Health Outcomes,"Percentage of patients 18 years of age and older who completed a baseline and, within the CY(calendar year) reporting period of Jan. 1, 20xx - Dec.31, 20xx, a follow-up quality of life (QoL) patient-reported outcomes assessment (VR-12, SF-12, SF-36, PROMIS Global 10 or equivalent Computer Adaptive Test (CAT) assessment if available) which yielded a physical component score that  showed a statistically significant improvement in comparison to initial assessment or who had already reported a score in which there is no room for statistical improvement. The use of Patient Reported Outcomes (PROs) in clinical research is well documented. In addition, the AAOS Quality Outcomes Work Group recommends that QoL PROs in the clinical setting can lead to improved care.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Engagement/Experience,No,Yes,No,No,1,1st Performance Rate,No,Oberd,2018
Oberd,OBERD33,Patient Acceptable Symptom State Outcomes,"Percentage of patients 18 years or older who completed a baseline and, within the CY(calendar year) reporting period of Jan. 1, 20xx - Dec.31, 20xx, a follow-up Patient Acceptable Symptoms State (PASS) assessment that showed a statistically significant improvement in comparison to initial assessment or who had already reported a score in which there is no room for statistical improvement.  The use of Patient Reported Outcomes (PROs) in clinical research is well documented.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,Oberd,2018
Oberd,OBERD34,Upper Extremity Functional Outcomes,"Percentage of patients 18 years of age and older who completed a baseline and, within the CY(calendar year) reporting period of Jan. 1, 20xx - Dec.31, 20xx, a follow-up patient-reported upper extremity functional assessment  (e.g. PROMIS Upper Extremity, ASES, ASES - elbow, Oxford Shoulder Score, Oxford Instability Score, Penn Shoulder Score, Boston questionnaire, DASH, Quick DASH, PRWE, or equivalent CAT assessment if available) that showed a statistically significant improvement in comparison to initial assessment or who had already reported a score in which there is no room for statistical improvement. The use of Patient Reported Outcomes (PROs) in clinical research is well documented.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,Oberd,2018
Oberd,SPINETRACK4,Percent of patients meeting SCB thresholds for back or neck pain,Calculation of the percent of patients who meet the substantial clinical benefit (SCB) thresholds for improvement in back or neck pain following a spine surgical intervention (cervical or lumbar),N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,SpineTRACK Registry,2018
Oberd,SPINETRACK6,Percent of patients meeting SCB thresholds for pain-related disability (ODI/NDI),Calculation of the percent of patients who meet the substantial clinical benefit (SCB) thresholds for improvement in pain-related disability following a spine surgical intervention (cervical or lumbar),N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,SpineTRACK Registry,2018
"Oncology QCDR Powered by Premier, Inc.",ONSQIR16,Recommendation for Exercise to Adult Cancer Survivors,Percentage of patients aged 18 or older with a current or prior diagnosis of cancer who receive an individualized recommendation for >= 150 minutes of moderate intensity or >= 75 minutes of high intensity cardio type exercise weekly along with two sessions of resistance and/or flexibility exercise at any visit during the measurement period.,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,"Oncology QCDR Powered by Premier, Inc.",2017
"Oncology QCDR Powered by Premier, Inc.",ONSQIR18,Goal Setting and Attainment for Cancer Survivors,Percentage of patients aged 18 years and older who completed the final component of cancer treatment that have at least one post-treatment goal documented and progress toward goal attainment documented within 12 months of completing the final component of cancer treatment.,N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Engagement/Experience,No,Yes,No,No,1,1st Performance Rate,No,"Oncology QCDR Powered by Premier, Inc.",2017
"Oncology QCDR Powered by Premier, Inc.",ONSQIR21,Patient Reported Health-Related Quality of Life (HRQOL) during Treatment for Advanced Cancer,"Percentage of patients aged 18 and older with an active diagnosis of advanced cancer (Stage III or Stage IV) receiving chemotherapy and/or immunotherapy for treatment of cancer, who have HRQOL assessed on the FACT-G (Version 4) or PROMIS Global Health short form (Version 1.2) at least twice during the measurement period at least 90 days apart, where the most recent total score indicates the same or better quality of life.

Two rates are reported:
Rate 1: Percentage of patients aged 18 and older with an active diagnosis of advanced cancer (Stage III or Stage IV) receiving chemotherapy and/or immunotherapy for treatment of cancer, who have HRQOL assessed on the FACT-G (Version 4) or PROMIS Global Health short form (Version 1.2) at least twice during the measurement period at least 90 days apart.
Rate 2: Percentage of patients aged 18 and older with an active diagnosis of advanced cancer (Stage III or Stage IV) receiving chemotherapy and/or immunotherapy for treatment of cancer, who have HRQOL assessed on the FACT-G (Version 4) or PROMIS Global Health short form (Version 1.2) at least twice during the measurement period at least 90 days apart, where the most recent total score indicates the same or better quality of life.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,2,2nd Performance Rate,No,"Oncology QCDR Powered by Premier, Inc.",2019
"Oncology QCDR Powered by Premier, Inc.",ONSQIR22,PCR Test with MR2 or greater result (BCR-ABL1 transcript level <= 1% [IS]) for patients receiving TKI for at least 6 months for Chronic Myelogenous Leukemia,"Percentage of patients aged 18 and older with chronic myelogenous leukemia who are receiving TKI therapy for at least 6 months, who have at least 1 PCR test performed with the most recent result equal to or greater than MR2 (BCR-ABL1 transcript level <= 1% [IS]) during the measurement period.",N/A,Effective Clinical Care,Yes,Intermediate Outcome,No,Yes,No,No,1,1st Performance Rate,No,"Oncology QCDR Powered by Premier, Inc.",2019
"Oncology QCDR Powered by Premier, Inc.",ONSQIR23,Assessment for and management of immune-related adverse events during cancer treatment with checkpoint inhibitors (ICPi),"Percentage of patients aged 18 and older receiving a checkpoint inhibitor (ICPi) for cancer experiencing immune-related adverse events of documented grade 3+ diarrhea OR documented grade 3+ hypothyroidism OR documented grade 3+ dermatitis OR documented grade 3+ pneumonitis AND for each adverse event, there is guideline concordant intervention (per ASCO/NCCN guideline) during the measurement period.",N/A,Effective Clinical Care,Yes,Intermediate Outcome,No,Yes,No,No,1,1st Performance Rate,No,"Oncology QCDR Powered by Premier, Inc.",2019
Outpatient Endovascular and Interventional Society National Registry,OEIS2,"Emergent transfer from an outpatient, ambulatory surgical center, or office setting","Rate of emergent transfer from an outpatient, ASC, or office setting to an acute care facility as a result of an invasive peripheral vascular intervention.",N/A,Patient Safety,Yes,Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,Outpatient Endovascular and Interventional Society National Registry,2017
Outpatient Endovascular and Interventional Society National Registry,OEIS6,Appropriate non-invasive arterial testing for patients with intermittent claudication who are undergoing a LE peripheral vascular intervention,Proportion of patients with non-invasive evaluations present/available prior to LE peripheral vascular interventions in patients with intermittent claudication.,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Outpatient Endovascular and Interventional Society National Registry,2017
Outpatient Endovascular and Interventional Society National Registry,OEIS7,Structured Walking Program Prior to Intervention for Claudication,Proportion of patients who completed a structured walking program of a duration not less than 12 weeks prior to undergoing peripheral arterial intervention in patients with claudication,N/A,Efficiency and Cost Reduction,Yes,Efficiency and Cost/Resource Use,No,Yes,No,No,1,1st Performance Rate,No,Outpatient Endovascular and Interventional Society National Registry,2019
Pathologists Quality Registry,CAP10,Blood Laboratory Samples for Potassium Determination with Hemolysis Drawn in ED,"Percentage of blood laboratory samples for potassium determination drawn in the emergency department (ED) with hemolysis.
INSTRUCTIONS: This measure is to be reported each time an ED patient having blood drawn for potassium determination during the performance period. This measure is an episode-of-care measure; the level of analysis for this measure is every potassium laboratory test during the measurement period. For example, for every laboratory test performed to evaluate a potassium level, the sample should be evaluated for hemolysis.",N/A,Effective Clinical Care,Yes,Intermediate Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,Pathologists Quality Registry,2019
Pathologists Quality Registry,CAP11,Accurate Human Epidermal Growth Factor Receptor 2 (HER2) Tumor Evaluation and Repeat Evaluation in Patients with Breast Carcinoma,"Percentage of surgical pathology reports for breast carcinoma with appropriate human epidermal growth factor receptor 2 (HER2) breast tumor evaluation 
Three rates are submitted.
1. Percentage of surgical pathology reports for breast carcinoma with a quantitative breast tumor evaluation using HER2 IHC or ISH, that had an HER2 result derived using the ASCO/CAP guideline optimal scoring algorithm
2. Percentage of surgical pathology reports for breast carcinoma with an equivocal HER2 result obtained using the ASCO/CAP guideline optimal scoring algorithm that had a subsequent repeat HER2 test completed
3. Percentage of surgical pathology reports for breast carcinoma with a quantitative breast tumor evaluation using HER2 IHC or ISH, that had an HER2 result derived using the ASCO/CAP guideline optimal scoring algorithm AND when an equivocal HER2 result was obtained, had a subsequent repeat HER2 test completed 
Performance rate 3 is the reported rate
INSTRUCTIONS: This measure is to be reported each time a breast carcinoma report is finalized during the performance period. This measure may be submitted by eligible clinicians who perform the quality actions described in the measure based on the services provided and the measure-specific denominator coding.",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Pathologists Quality Registry,2019
Pathologists Quality Registry,CAP12,Accurate Human Epidermal Growth Factor Receptor 2 (HER2) Tumor Evaluation and Repeat Evaluation in Patients with Gastroesophageal Adenocarcinoma,"Percentage of patients diagnosed with gastroesophageal adenocarcinoma (GEA) cancer (primary or metastatic) for which biopsies, resection, or metastatic specimens have HER2 evaluation conducted using the current ASCO/CAP recommended manual system or computer-assisted system consistent with the optimal algorithm.
INSTRUCTIONS: This measure should be submitted when quantitative HER2 evaluation is conducted during the performance period for patients with gastroesophageal adenocarcinoma. This measure may be submitted by eligible clinicians who perform the quality actions described in the measure based on the services provided and the measure-specific denominator coding.
This measure has two performance rates that contribute to the overall performance score:
1. Percentage of all pathology reports for GEA cancer biopsies or resection specimens (primary or metastasis) for patients with known GEA that have HER2 immunohistochemistry (IHC) evaluation conducted using the current ASCO/CAP recommended optimal scoring algorithm completed.
2. Percentage of pathology reports GEA cancer patients with equivocal (IHC 2+) human epidermal growth factor receptor 2 (HER2) testing result that had a follow-up HER2 evaluation completed using in-situ hybridization (ISH). 
The overall performance score is a weighted average of: (Numerator 1 + Numerator 2)/(Denominator 1 + Denominator 2).",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Pathologists Quality Registry,2019
Pathologists Quality Registry,CAP13,Anaplastic Lymphoma Kinase (ALK) Biomarker Testing to Inform Clinical Management and Treatment Decisions in Patients with Non-small Cell Lung Cancer,"Percentage of non-small cell lung cancer (NSCLC) surgical pathology reports that include anaplastic lymphoma kinase (ALK) mutation status.
INSTRUCTIONS: This measure is to be reported each time a non-small cell lung cancer specimen pathology report is finalized during the performance period. This measure may be submitted by eligible clinicians who perform the quality actions described in the measure based on the services provided and the measure-specific denominator coding.
The results of ALK testing of a specimen are frequently needed at some point during a patient's treatment.  Pathologists are uniquely well positioned at the time of signing out the surgical pathology report to detail the disposition of ALK testing for that specimen. Referring physicians depend on both the pathologists' interpretations of and any recommendations for tests in order to provide quality patient care. If the status is not indicated in each pathology report for the patient, unnecessary repeat testing may be performed delaying treatment and increasing cost. This measure monitors the success of pathologists in effectively communicating this important information for the purpose of care coordination and efficient use of resources.",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Pathologists Quality Registry,2019
