title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,primarySteward,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,cardiology,electrophysiologyCardiacSpecialist,gastroenterology,dermatology,emergencyMedicine,familyMedicine,internalMedicine,obstetricsGynecology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,plasticSurgery,preventiveMedicine,neurology,mentalBehavioralHealth,diagnosticRadiology,interventionalRadiology,vascularSurgery,generalSurgery,thoracicSurgery,urology,oncology,radiationOncology,hospitalists,rheumatology,nephrology,infectiousDisease,neurosurgical,podiatry,physicalTherapyOccupationalTherapy,geriatrics,urgentCare,skilledNursingFacility,dentistry,metricType,firstPerformanceYear,lastPerformanceYear,eMeasureUuid,isHighPriority,isInverse,numStrataClaims,numStrataRegistry,numStrataEcqm,overallAlgorithm,default,registry,claims,cmsWebInterface,electronicHealthRecord,isIcdImpacted,isClinicalGuidelineChanged
CAHPS for MIPS Group Survey,N/A,N/A,0005 & 0006,321,"The Consumer Assessment of Healthcare Providers and Systems (CAHPS) for MIPS Group Survey is comprised of 10 Summary Survey Measures (SSMs) and measures patient experience of care within a group practice. The NQF endorsement status and endorsement id (if applicable) for each SSM utilized in this measure are as follows:                                                                                                                                                                                                                                                                                         - Getting timely care, appointments, and information;
- How well providers Communicate;
- Patient's Rating of Provider;
- Access to Specialists;
- Health Promotion & Education;
- Shared Decision Making;
- Health Status/Functional Status;
- Courteous and Helpful Office Staff;
- Care Coordination; and
- Stewardship of Patient Resources",Person and Caregiver-Centered Experience and Outcomes,Patient Engagement/Experience,Agency for Healthcare Research & Quality,-,X,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cahps,2017,null,,TRUE,FALSE,,10,,N/A,,,,,,FALSE,FALSE
 Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Preoperative Evaluation in Low-Risk Surgery Patients,N/A,N/A,N/A,322,"Percentage of stress single-photon emission computed tomography (SPECT) myocardial perfusion imaging (MPI), stress echocardiogram (ECHO), cardiac computed tomography angiography (CCTA), or cardiac magnetic resonance (CMR) performed in low-risk surgery patients 18 years or older for preoperative evaluation during the 12-month submission period",Efficiency and Cost Reduction,Efficiency,American College of Cardiology,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_322_MIPSCQM.pdf,,,,FALSE,FALSE
Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Routine Testing After Percutaneous Coronary Intervention (PCI),N/A,N/A,N/A,323,"Percentage of all stress single-photon emission computed tomography (SPECT) myocardial perfusion imaging (MPI), stress echocardiogram (ECHO), cardiac computed tomography angiography (CCTA), and cardiovascular magnetic resonance (CMR) performed in patients aged 18 years and older routinely after percutaneous coronary intervention (PCI), with reference to timing of test after PCI and symptom status",Efficiency and Cost Reduction,Efficiency,American College of Cardiology,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_323_MIPSCQM.pdf,,,,FALSE,FALSE
"Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Testing in Asymptomatic, Low-Risk Patients",N/A,N/A,N/A,324,"Percentage of all stress single-photon emission computed tomography (SPECT) myocardial perfusion imaging (MPI), stress echocardiogram (ECHO), cardiac computed tomography angiography (CCTA), and cardiovascular magnetic resonance (CMR) performed in asymptomatic, low coronary heart disease (CHD) risk patients 18 years and older for initial detection and risk assessment",Efficiency and Cost Reduction,Efficiency,American College of Cardiology,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_324_MIPSCQM.pdf,,,,FALSE,FALSE
Adult Major Depressive Disorder (MDD): Coordination of Care of Patients with Specific Comorbid Conditions ,N/A,N/A,N/A,325,"Percentage of medical records of patients aged 18 years and older with a diagnosis of major depressive disorder (MDD) and a specific diagnosed comorbid condition (diabetes, coronary artery disease, ischemic stroke, intracranial hemorrhage, chronic kidney disease [stages 4 or 5], End Stage Renal Disease [ESRD] or congestive heart failure) being treated by another clinician with communication to the clinician treating the comorbid condition",Communication and Care Coordination,Process,American Psychiatric Association,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_325_MIPSCQM.pdf,,,,FALSE,FALSE
Atrial Fibrillation and Atrial Flutter: Chronic Anticoagulation Therapy ,N/A,N/A,1525,326,Percentage of patients aged 18 years and older with nonvalvular atrial fibrillation (AF) or atrial flutter who were prescribed warfarin OR another FDA-approved oral anticoagulant drug for the prevention of thromboembolism during the measurement period,Effective Clinical Care,Process,American College of Cardiology,X,-,-,-,-,X,-,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_326_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_326_MedicarePartBClaims.pdf,,,TRUE,FALSE
Pediatric Kidney Disease: ESRD Patients Receiving Dialysis: Hemoglobin Level < 10g/dL,N/A,N/A,1667,328,Percentage of calendar months within a 12-month period during which patients aged 17 years and younger with a diagnosis of End Stage Renal Disease (ESRD) receiving hemodialysis or peritoneal dialysis have a hemoglobin level < 10 g/dL,Effective Clinical Care, Intermediate Outcome,Renal Physicians Association,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_328_MIPSCQM.pdf,,,,FALSE,FALSE
Adult Kidney Disease: Catheter Use at Initiation of Hemodialysis ,N/A,N/A,N/A,329,"Percentage of patients aged 18 years and older with a diagnosis of End Stage Renal Disease (ESRD) who initiate maintenance hemodialysis during the measurement period, whose mode of vascular access is a catheter at the time maintenance hemodialysis is initiated",Effective Clinical Care,Outcome,Renal Physicians Association,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_329_MIPSCQM.pdf,,,,FALSE,FALSE
Adult Kidney Disease: Catheter Use for Greater Than or Equal to 90 Days,N/A,N/A,N/A,330,Percentage of patients aged 18 years and older with a diagnosis of End Stage Renal Disease (ESRD) receiving maintenance hemodialysis for greater than or equal to 90 days whose mode of vascular access is a catheter,Patient Safety,Outcome,Renal Physicians Association,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_330_MIPSCQM.pdf,,,,FALSE,FALSE
Adult Sinusitis: Antibiotic Prescribed for Acute Viral Sinusitis (Overuse) ,N/A,N/A,N/A,331,"Percentage of patients, aged 18 years and older, with a diagnosis of acute viral sinusitis who were prescribed an antibiotic within 10 days after onset of symptoms",Efficiency and Cost Reduction,Process,American Academy of Otolaryngology - Head and Neck Surgery,-,-,-,-,-,X,-,-,-,-,-,-,X,X,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_331_MIPSCQM.pdf,,,,FALSE,FALSE
Adult Sinusitis: Appropriate Choice of Antibiotic: Amoxicillin With or Without Clavulanate Prescribed for Patients with Acute Bacterial Sinusitis (Appropriate Use),N/A,N/A,N/A,332,"Percentage of patients aged 18 years and older with a diagnosis of acute bacterial sinusitis that were prescribed amoxicillin, with or without clavulanate, as a first line antibiotic at the time of diagnosis",Efficiency and Cost Reduction,Process,American Academy of Otolaryngology - Head and Neck Surgery,-,-,-,-,-,X,-,-,-,-,-,-,X,X,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_332_MIPSCQM.pdf,,,,FALSE,FALSE
Adult Sinusitis: Computerized Tomography (CT) for Acute Sinusitis (Overuse) ,N/A,N/A,N/A,333,"Percentage of patients aged 18 years and older, with a diagnosis of acute sinusitis who had a computerized tomography (CT) scan of the paranasal sinuses ordered at the time of diagnosis or received within 28 days after date of diagnosis",Efficiency and Cost Reduction,Efficiency,American Academy of Otolaryngology - Head and Neck Surgery,-,-,-,-,-,X,-,-,-,-,-,-,X,X,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_333_MIPSCQM.pdf,,,,FALSE,FALSE
Maternity Care: Elective Delivery or Early Induction Without Medical Indication at >= 37 and < 39 Weeks (Overuse),N/A,N/A,N/A,335,"Percentage of patients, regardless of age, who gave birth during a 12-month period who delivered a live singleton at
>= 37 and < 39 weeks of gestation completed who had elective deliveries or early inductions without medical indication",Patient Safety,Outcome,Centers for Medicare & Medicaid Services,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_335_MIPSCQM.pdf,,,,FALSE,FALSE
Maternity Care: Post-Partum Follow-Up and Care Coordination,N/A,N/A,N/A,336,"Percentage of patients, regardless of age, who gave birth during a 12-month period who were seen for post-partum care within 8 weeks of giving birth who received a breast feeding evaluation and education, post-partum depression screening, post-partum glucose screening for gestational diabetes patients, and family and contraceptive planning",Communication and Care Coordination,Process,Centers for Medicare & Medicaid Services,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_336_MIPSCQM.pdf,,,,FALSE,FALSE
"Psoriasis: Tuberculosis (TB) Prevention for Patients with Psoriasis, Psoriatic Arthritis and Rheumatoid Arthritis on a Biological Immune Response Modifier 
",N/A,N/A,N/A,337,"Percentage of patients, regardless of age, with psoriasis, psoriatic arthritis and rheumatoid arthritis on a biological immune response modifier whose providers are ensuring active tuberculosis prevention either through yearly negative standard tuberculosis screening tests or are reviewing the patient's history to determine if they have had appropriate management for a recent or prior positive test",Effective Clinical Care,Process,American Academy of Dermatology,-,-,-,-,-,X,-,-,-,-,-,X,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_337_MIPSCQM.pdf,,,,FALSE,FALSE
HIV Viral Load Suppression,N/A,N/A,2082,338,"The percentage of patients, regardless of age, with a diagnosis of HIV with a HIV viral load less than 200 copies/mL at last HIV viral load test during the measurement year",Effective Clinical Care,Outcome,Health Resources and Services Administration,-,-,-,-,-,X,X,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_338_MIPSCQM.pdf,,,,FALSE,FALSE
HIV Medical Visit Frequency ,N/A,N/A,2079,340,"Percentage of patients, regardless of age with a diagnosis of HIV who had at least one medical visit in each 6 month period of the 24 month measurement period, with a minimum of 60 days between medical visits",Efficiency and Cost Reduction,Process,Health Resources and Services Administration,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_340_MIPSCQM.pdf,,,,FALSE,FALSE
Pain Brought Under Control Within 48 Hours,N/A,N/A,N/A,342,Patients aged 18 and older who report being uncomfortable because of pain at the initial assessment (after admission to palliative care services) who report pain was brought to a comfortable level within 48 hours,Person and Caregiver-Centered Experience and Outcomes,Outcome,National Hospice and Palliative Care Organization,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_342_MIPSCQM.pdf,,,,FALSE,FALSE
Screening Colonoscopy Adenoma Detection Rate ,N/A,N/A,N/A,343,The percentage of patients age 50 years or older with at least one conventional adenoma or colorectal cancer detected during screening colonoscopy,Effective Clinical Care,Outcome,American Society for Gastrointestinal Endoscopy,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_343_MIPSCQM.pdf,,,,FALSE,FALSE
"Rate of Carotid Artery Stenting (CAS) for Asymptomatic Patients, Without Major Complications (Discharged to Home by Post-Operative Day #2)",N/A,N/A,N/A,344,Percent of asymptomatic patients undergoing CAS who are discharged to home no later than post-operative day #2,Effective Clinical Care,Outcome,Society for Vascular Surgeons,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_344_MIPSCQM.pdf,,,,FALSE,FALSE
Rate of Asymptomatic Patients Undergoing Carotid Artery Stenting (CAS) Who Are Stroke Free or Discharged Alive,N/A,N/A,1543,345,"Percent of asymptomatic patients undergoing CAS who are stroke free while in the hospital or discharged alive following surgery 
",Effective Clinical Care,Outcome,Society for Vascular Surgeons,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_345_MIPSCQM.pdf,,,,FALSE,FALSE
Rate of Asymptomatic Patients Undergoing Carotid Endarterectomy (CEA) Who Are Stroke Free or Discharged Alive,N/A,N/A,1540,346,Percent of asymptomatic patients undergoing CEA who are stroke free or discharged alive following surgery,Effective Clinical Care,Outcome,Society for Vascular Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_346_MIPSCQM.pdf,,,,FALSE,FALSE
Rate of Endovascular Aneurysm Repair (EVAR) of Small or Moderate Non-Ruptured Infrarenal Abdominal Aortic Aneurysms (AAA) Who Are Discharged Alive,N/A,N/A,1534,347,"Percent of patients undergoing endovascular repair of small or moderate non-ruptured infrarenal abdominal aortic aneurysms (AAA) who are discharged alive
",Patient Safety,Outcome,Society for Vascular Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_347_MIPSCQM.pdf,,,,FALSE,FALSE
HRS-3: Implantable Cardioverter-Defibrillator (ICD) Complications Rate,N/A,N/A,N/A,348,Patients with physician-specific risk-standardized rates of procedural complications following the first time implantation of an ICD,Patient Safety,Outcome,The Heart Rhythm Society,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2017,null,,TRUE,TRUE,,2,,"weightedAverage
",,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_348_MIPSCQM.pdf,,,,FALSE,FALSE
Total Knee Replacement: Shared Decision-Making: Trial of Conservative (Non-surgical) Therapy,N/A,N/A,N/A,350,"Percentage of patients regardless of age undergoing a total knee replacement with documented shared decision-making with discussion of conservative (non-surgical) therapy (e.g. nonsteroidal anti-inflammatory drug (NSAIDs), analgesics, weight loss, exercise, injections) prior to the procedure",Communication and Care Coordination,Process,American Association of Hip and Knee Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_350_MIPSCQM.pdf,,,,FALSE,FALSE
Total Knee Replacement: Venous Thromboembolic and Cardiovascular Risk Evaluation ,N/A,N/A,N/A,351,"Percentage of patients regardless of age undergoing a total knee replacement who are evaluated for the presence or absence of venous thromboembolic and cardiovascular risk factors within 30 days prior to the procedure (e.g. history of Deep Vein Thrombosis (DVT), Pulmonary Embolism (PE), Myocardial Infarction (MI), Arrhythmia and Stroke)",Patient Safety,Process,American Association of Hip and Knee Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_351_MIPSCQM.pdf,,,,FALSE,FALSE
Total Knee Replacement: Preoperative Antibiotic Infusion with Proximal Tourniquet,N/A,N/A,N/A,352,Percentage of patients regardless of age undergoing a total knee replacement who had the prophylactic antibiotic completely infused prior to the inflation of the proximal tourniquet,Patient Safety,Process,American Association of Hip and Knee Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_352_MIPSCQM.pdf,,,,FALSE,FALSE
Total Knee Replacement: Identification of Implanted Prosthesis in Operative Report,N/A,N/A,N/A,353,"Percentage of patients regardless of age undergoing a total knee replacement whose operative report identifies the prosthetic implant specifications including the prosthetic implant manufacturer, the brand name of the prosthetic implant and the size of each prosthetic implant",Patient Safety,Process,American Association of Hip and Knee Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_353_MIPSCQM.pdf,,,,FALSE,FALSE
Anastomotic Leak Intervention,N/A,N/A,N/A,354,Percentage of patients aged 18 years and older who required an anastomotic leak intervention following gastric bypass or colectomy surgery,Patient Safety,Outcome,American College of Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_354_MIPSCQM.pdf,,,,FALSE,FALSE
Unplanned Reoperation within the 30 Day Postoperative Period,N/A,N/A,N/A,355,Percentage of patients aged 18 years and older who had any unplanned reoperation within the 30 day postoperative period,Patient Safety,Outcome,American College of Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_355_MIPSCQM.pdf,,,,FALSE,FALSE
Unplanned Hospital Readmission within 30 Days of Principal Procedure,N/A,N/A,N/A,356,Percentage of patients aged 18 years and older who had an unplanned hospital readmission within 30 days of principal procedure,Effective Clinical Care,Outcome,American College of Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_356_MIPSCQM.pdf,,,,FALSE,FALSE
Surgical Site Infection (SSI),N/A,N/A,N/A,357,Percentage of patients aged 18 years and older who had a surgical site infection (SSI),Effective Clinical Care,Outcome,American College of Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_357_MIPSCQM.pdf,,,,FALSE,FALSE
Patient-Centered Surgical Risk Assessment and Communication,N/A,N/A,N/A,358,"Percentage of patients who underwent a non-emergency surgery who had their personalized risks of postoperative complications assessed by their surgical team prior to surgery using a clinical data-based, patient-specific risk calculator and who received personal discussion of those risks with the surgeon",Person and Caregiver-Centered Experience and Outcomes,Process,American College of Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,X,-,-,-,-,-,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_358_MIPSCQM.pdf,,,,FALSE,FALSE
Optimizing Patient Exposure to Ionizing Radiation: Count of Potential High Dose Radiation Imaging Studies: Computed Tomography (CT) and Cardiac Nuclear Medicine Studies ,N/A,N/A,N/A,360,"Percentage of computed tomography (CT) and cardiac nuclear medicine (myocardial perfusion studies) imaging reports for all patients, regardless of age, that document a count of known previous CT (any type of CT) and cardiac nuclear medicine (myocardial perfusion) studies that the patient has received in the 12-month period prior to the current study",Patient Safety,Process,American College of Radiology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_360_MIPSCQM.pdf,,,,FALSE,FALSE
Optimizing Patient Exposure to Ionizing Radiation: Reporting to a Radiation Dose Index Registry ,N/A,N/A,N/A,361,"Percentage of total computed tomography (CT) studies performed for all patients, regardless of age, that are submitted to a radiation dose index registry that is capable of collecting at a minimum selected data elements",Patient Safety,Structure,American College of Radiology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_361_MIPSCQM.pdf,,,,FALSE,FALSE
Optimizing Patient Exposure to Ionizing Radiation: Computed Tomography (CT) Images Available for Patient Follow-up and Comparison Purposes,N/A,N/A,N/A,362,"Percentage of final reports for computed tomography (CT) studies performed for all patients, regardless of age, which document that Digital Imaging and Communications in Medicine (DICOM) format image data are available to non-affiliated external healthcare facilities or entities on a secure, media free, reciprocally searchable basis with patient authorization for at least a 12-month period after the study",Communication and Care Coordination,Structure,American College of Radiology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_362_MIPSCQM.pdf,,,,FALSE,FALSE
