title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,measureArea,isHighPriority,appropriateUse,primarySteward,firstPerformanceYear,lastPerformanceYear,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,audiology,cardiology,certifiedNurseMidwife,chiropracticMedicine,clinicalSocialWork,dentistry,dermatology,diagnosticRadiology,electrophysiologyCardiacSpecialist,emergencyMedicine,endocrinology,familyMedicine,gastroenterology,generalSurgery,geriatrics,hospitalists,infectiousDisease,internalMedicine,interventionalRadiology,mentalBehavioralHealth,nephrology,neurology,neurosurgical,nutritionDietician,obstetricsGynecology,oncology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,physicalTherapyOccupationalTherapy,plasticSurgery,podiatry,preventiveMedicine,pulmonology,radiationOncology,rheumatology,skilledNursingFacility,speechLanguagePathology,thoracicSurgery,urgentCare,urology,vascularSurgery,"additionalGuidence
",telehealthModifiers,isInverse,nonCoveredDenominator,numStrataRegistry,overallAlgorithm,perFrateDescriptions,isNonProportional,,,,,,,,,suppressionReason,,,,,,,,removalReason,,,,,,,,,truncationReason,,,,,,,,flatReason,programMIPS,programPCF,programAPP1,requiredPCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical Outcome Post Endovascular Stroke Treatment,N/A,N/A,N/A,409,Percentage of patients with a Modified Rankin Score (mRS) score of 0 to 2 at 90 days following endovascular stroke intervention.,Effective Clinical Care,Outcome,Management of Chronic Conditions,X,-,"Society of Interventional Radiology ",2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,N,N,N,N,N,Y (2022),2022,Measure stratified into multiple submission criteria with Submission Criteria 2 being used for benchmarking.,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psoriasis: Clinical Response to Systemic Medications,N/A,N/A,N/A,410,Percentage of psoriasis vulgaris patients receiving systemic medication who meet minimal physician-or patient- reported disease activity levels. It is implied that establishment and maintenance of an established minimum level of disease control as measured by physician-and/or patient-reported outcomes will increase patient satisfaction with and adherence to treatment.,Person and Caregiver-Centered Experience and Outcomes,Outcome,Management of Chronic Conditions,X,-,American Academy of Dermatology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depression Remission at Six Months,N/A,N/A,0711,411,The percentage of adolescent patients 12 to 17 years of age and adult patients 18 years of age or older with major depression or dysthymia who reached remission six months (+/- 60 days) after an index event date.,Effective Clinical Care,Outcome,"Prevention, Treatment, and Management of Mental Health ",X,-,Minnesota Community Measurement,2017,2020,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,N,N,2,Weighted Average,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation of Signed Opioid Treatment Agreement,N/A,N/A,N/A,412,All patients 18 and older prescribed opiates for longer than six weeks duration who signed an opioid treatment agreement at least once during Opioid Therapy documented in the medical record.,Effective Clinical Care,Process,Prevention and Treatment of Opioid and Substance Use Disorders,X,-,American Academy of Neurology,2017,2021,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019
2020",-,-,"2019
2020",-,-,"2017
2018
2019
2020",-,-,-,"2017
2018
2019
2020",-,-,-,-,-,"2018
2019
2020
",-,-,-,"2017
2018
2019
2020
",-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Door to Puncture Time for Endovascular Stroke Treatment,N/A,N/A,N/A,413,Percentage of patients undergoing endovascular stroke treatment who have a door to puncture time of 90 minutes or less.,Effective Clinical Care,Intermediate Outcome,"Patient Focused Episode of Care ",X,-,"Society of Interventional Radiology ",2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evaluation or Interview for Risk of Opioid Misuse,N/A,N/A,N/A,414,"All patients 18 and older prescribed opiates for longer than six weeks duration evaluated for risk of opioid misuse using a brief validated instrument (e.g. Opioid Risk Tool, Screener and Opioid Assessment for Patients with Pain, revised (SOAPP-R)) or patient interview documented at least once during Opioid Therapy in the medical record.",Effective Clinical Care,Process,Prevention and Treatment of Opioid and Substance Use Disorders,X,-,American Academy of Neurology,2017,2021,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019
2020",-,-,"2019
2020",-,-,"2017
2018
2019
2020",-,-,-,"2017
2018
2019
2020",-,-,-,-,-,"2018
2019
2020
",-,-,-,"2017
2018
2019
2020
",-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Medicine: Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,N/A,N/A,N/A,415,Percentage of emergency department visits for patients aged 18 years and older who presented with a minor blunt head trauma who had a head CT for trauma ordered by an emergency care provider who have an indication for a head CT.,Efficiency and Cost Reduction,Efficiency,"Appropriate Use of Healthcare ",X,-,American College of Emergency Physicians,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Claims: The patient should have CPT 70450 (regardless of TIN/NPI) on the same date of service as the denominator eligible encounter in order to be included in the denominator. 
",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Emergency Medicine: Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years",N/A,N/A,N/A,416,Percentage of emergency department visits for patients aged 2 through 17 years who presented with a minor blunt head trauma who had a head CT for trauma ordered by an emergency care provider who are classified as low risk according to the Pediatric Emergency Care Applied Research Network (PECARN) prediction rules for traumatic brain injury.,Efficiency and Cost Reduction,Efficiency,"Appropriate Use of Healthcare ",X,X,American College of Emergency Physicians,2017,Measure is still in program,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Claims: The patient should have CPT 70450 (regardless of TIN/NPI) on the same date of service as the denominator eligible encounter in order to be included in the denominator. 
",X,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rate of Open Repair of Small or Moderate Non-Ruptured Infrarenal Abdominal Aortic Aneurysms (AAA) Where Patients Are Discharged Alive,N/A,N/A,1523,417,Percentage of patients undergoing open repair of small or moderate non-ruptured infrarenal abdominal aortic aneurysms (AAA) who are discharged alive.,Patient Safety,Outcome,Appropriate Use of Healthcare,X,-,Society for Vascular Surgery,2017,2020,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2018
2019","N/A",-,N,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osteoporosis Management in Women Who Had a Fracture,N/A,N/A,0053,418,The percentage of women 50–85 years of age who suffered a fracture and who had either a bone mineral density (BMD) test or prescription for a drug to treat osteoporosis in the six months after the fracture.,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,National Committee for Quality Assurance,2017,Measure is still in program,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,"X
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Claims: Count each unique diagnosis as an episode for an TIN/NPI/Bene unless multiple diagnoses appear on the same claim.      
• Multiple qualifying ICD10 or CPT I procedures on a single claim are counted once. (A single claim can be counted a maximum of once for an episode per TIN/NPI/Bene combo regardless of the number of qualifying DXs or procedures that exist.)
• Multiple claims with any intersecting diagnosis will be counted once. Intersecting claims with diagnosis codes will be counted once. All claims that share diagnosis codes are combined into one episode, given they have the same TIN/NPI/Bene                                                                                                                                                                               • If the TIN/NPI/Bene combo has multiple claims containing *different* qualifying DX codes that have not been submitted during the performance period, then these claims may each count as additional episodes.
• Use the most favorable instance of reporting for performance rates if multiple conflicting QDCs exist on a qualifying episode.
• The QDC must exist on the claim with the qualifying denominator episode (overarching rule for all measures).
",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overuse of Imaging for the Evaluation of Primary Headache,N/A,N/A,N/A,419,Percentage of patients for whom imaging of the head (CT or MRI) is obtained for the evaluation of primary headache when clinical indications are not present.,Efficiency and Cost Reduction,Process,"Appropriate Use of Healthcare ",X,X,American Academy of Neurology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,Y,Y,1,N/A,N/A,N,(Y) 2020,N,N,N,N,N,Suppression,2020,The 2020 Medicare Part B Claims measure specification includes a quality data code (M1030) that was inadvertently indicated to be inactivated during the Healthcare Common Procedure Coding System (HCPCS) update process.,Y (2019),N,N,N,N,Y (2019),2019,"This measure was previously an not inverse measure. In 2019, the measure steward revised the measure to be inverse. Measure should be re-benchmarked with inverse logic if data meets requirements.",,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varicose Vein Treatment with Saphenous Ablation: Outcome Survey,N/A,N/A,N/A,420,Percentage of patients treated for varicose veins (CEAP C2-S) who are treated with saphenous ablation (with or without adjunctive tributary treatment) that report an improvement on a disease specific patient reported outcome survey instrument after treatment.,Effective Clinical Care,Patient-Reported Outcome-Based Performance Measure,Functional Outcomes,X,-,"Society of Interventional Radiology ",2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022","N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appropriate Assessment of Retrievable Inferior Vena Cava (IVC) Filters for Removal,N/A,N/A,N/A,421,"Percentage of patients in whom a retrievable IVC filter is placed who, within 3 months post-placement, have a documented assessment for the appropriateness of continued filtration, device removal or the inability to contact the patient with at least two attempts.",Effective Clinical Care,Process,Preventable Healthcare Harm,-,-,"Society of Interventional Radiology ",2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performing Cystoscopy at the Time of Hysterectomy for Pelvic Organ Prolapse to Detect Lower Urinary Tract Injury,N/A,N/A,2063,422,Percentage of patients who undergo cystoscopy to evaluate for lower urinary tract injury at the time of hysterectomy for pelvic organ prolapse.,Patient Safety,Process,Preventable Healthcare Harm,X,-,American Urogynecologic Society,2017,Measure is still in program,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perioperative Anti-platelet Therapy for Patients Undergoing Carotid Endarterectomy,N/A,N/A,0465,423,Percentage of patients undergoing carotid endarterectomy (CEA) who are taking an anti-platelet agent within 48 hours prior to surgery and are prescribed this medication at hospital discharge following surgery,Effective Clinical Care,Process,Risk Adjusted Mortality,-,-,Society for Vascular Surgeons,2017,2019,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,"N/A",,N,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perioperative Temperature Management,N/A,N/A,N/A,424,"Percentage of patients, regardless of age, who undergo surgical or therapeutic procedures under general or neuraxial anesthesia of 60 minutes duration or longer for whom at least one body temperature greater than or equal to 35.5 degrees Celsius (or 95.9 degrees Fahrenheit) was achieved within the 30 minutes immediately before or the 15 minutes immediately after anesthesia end time.",Patient Safety,Outcome,Preventable Healthcare Harm,X,-,American Society of Anesthesiologists,2017,Measure is still in program,-,-,-,-,-,X,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photodocumentation of Cecal Intubation,N/A,N/A,N/A,425,The rate of screening and surveillance colonoscopies for which photodocumentation of at least two landmarks of cecal intubation is performed to establish a complete examination.,Effective Clinical Care,Process,Transfer of Health Information and Interoperability,-,-,American Society for Gastrointestinal Endoscopy,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Denominator eligible CPT codes submitted with a modifier 73 and 74 should be excluded from the denominator for claims or excluded by the registry.  

If QDCs are submitted on the same claim for multiple measures, exclude only the line item with the modifier.
",X,N,N,1,N/A,N/A,N,,,,,,,,,,Y (2019),N,N,N,N,Y (2019),2019,"This measure was revised to required 2 landmarks or cecal intubation. It previously only required one landmarks, this revision would impact performance. Measure Steward has raised this concern as well",,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Anesthetic Transfer of Care Measure: Procedure Room to a Post Anesthesia Care Unit (PACU),N/A,N/A,N/A,426,"Percentage of patients, regardless of age, who are under the care of an anesthesia practitioner and are admitted to a PACU in which a post-anesthetic formal transfer of care protocol or checklist which includes the key transfer of care elements is utilized",Communication and Care Coordination,Process,Transfer of Health Information and Interoperability,X,-,American Society of Anesthesiologists,2017,2019,-,-,-,-,-,X,-,"2017
2018
2019",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",,N,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Post-Anesthetic Transfer of Care: Use of Checklist or Protocol for Direct Transfer of Care from Procedure Room to Intensive Care Unit (ICU) ",N/A,N/A,N/A,427,"Percentage of patients, regardless of age, who undergo a procedure under anesthesia and are admitted to an Intensive Care Unit (ICU) directly from the anesthetizing location, who have a documented use of a checklist or protocol for the transfer of care from the responsible anesthesia practitioner to the responsible ICU team or team member",Communication and Care Coordination,Process,Transfer of Health Information and Interoperability,X,-,American Society of Anesthesiologists,2017,2019,-,-,-,-,-,X,-,"2017
2018
2019",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",,N,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelvic Organ Prolapse: Preoperative Assessment of Occult Stress Urinary Incontinence,N/A,N/A,N/A,428,Percentage of patients undergoing appropriate preoperative evaluation of stress urinary incontinence prior to pelvic organ prolapse surgery per ACOG/AUGS/AUA guidelines.,Effective Clinical Care,Process,Preventable Healthcare Harm,-,-,American Urogynecologic Society,2017,2020,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2018
2019",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2018
2019",-,"N/A",-,N,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelvic Organ Prolapse: Preoperative Screening for Uterine Malignancy,N/A,N/A,N/A,429,Percentage of patients who are screened for uterine malignancy prior to vaginal closure or obliterative surgery for pelvic organ prolapse.,Patient Safety,Process,Preventive Care,X,-,American Urogynecologic Society,2017,2022,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2018
2019
2020
2021",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2018
2019
2020
2021",-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prevention of Post-Operative Nausea and Vomiting (PONV) – Combination Therapy,N/A,N/A,N/A,430,"Percentage of patients, aged 18 years and older, who undergo a procedure under an inhalational general anesthetic, AND who have three or more risk factors for post-operative nausea and vomiting (PONV), who receive combination therapy consisting of at least two prophylactic pharmacologic antiemetic agents of different classes preoperatively and/or intraoperatively.",Patient Safety,Process,Preventive Care,X,-,American Society of Anesthesiologists,2017,Measure is still in program,-,-,-,-,-,X,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preventive Care and Screening: Unhealthy Alcohol Use: Screening & Brief Counseling,N/A,N/A,2152,431,Percentage of patients aged 18 years and older who were screened for unhealthy alcohol use using a systematic screening method at least once within the last 12 months AND who received brief counseling if identified as an unhealthy alcohol user.,Community/Population Health,Process,Prevention and Treatment of Opioid and Substance Use Disorders,-,-,National Committee for Quality Assurance,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,"X
2017
2018
2019
2020
2021
2022","X
2022",-,"X
2020
2021
2022",-,-,-,-,2017,-,"X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,-,2017,-,"X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,"X
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,-,"X
2017
2018
2019
2020
2021
2022",-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,"X
2017
2018
2019
2020
2021
2022","X
2020
2021
2022",-,-,-,-,-,"X
2019
2020
2021
2022","X
2018
2019
2020
2021
2022",-,"N/A",-,N,Y,3,2nd Performance Rate,"Rate 1: Percentage of patients aged 18 years and older who were screened for unhealthy alcohol use using a systematic screening method at least once within the last 12 months
Rate 2: Percentage of patients aged 18 years and older who were identified as unhealthy alcohol users who received brief counseling
Rate 3: Percentage of patients aged 18 years and older who were screened for unhealthy alcohol use using a systematic screening method at least once within the last 12 months AND who received brief counseling if identified as unhealthy alcohol users",N,,,,,,,,,,N,N,N,N,N,Y (2021),2021,2021: The measure is being updated to include 3 submission criteria (similar to Q226). The second performance rate will be used for benchmarking.,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of Patients Sustaining a Bladder Injury at the Time of any Pelvic Organ Prolapse Repair,N/A,N/A,N/A,432,Percentage of patients undergoing pelvic organ prolapse repairs who sustain an injury to the bladder recognized either during or within 30 days after surgery.,Patient Safety,Outcome,Preventable Healthcare Harm,X,-,American Urogynecologic Society,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,"N/A",X,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of Patients Sustaining a Bowel Injury at the time of any Pelvic Organ Prolapse Repair,N/A,N/A,N/A,433,Percentage of patients undergoing surgical repair of pelvic organ prolapse that is complicated by a bowel injury at the time of index surgery that is recognized intraoperatively or within 30 days after surgery.,Patient Safety,Outcome,Preventable Healthcare Harm,X,-,American Urogynecologic Society,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,"N/A",X,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of Patients Sustaining a Ureter Injury at the Time of Pelvic Organ Prolapse Repair,N/A,N/A,N/A,434,Percentage of patients undergoing pelvic organ prolapse repairs who sustain an injury to the ureter recognized either during or within 30 days after surgery.,Patient Safety,Outcome,Preventable Healthcare Harm,X,-,American Urogynecologic Society,2017,2022,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019
2020
2021",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2018
2019
2020
2021",-,"N/A",X,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
