QCDR Name,Measure ID,Measure Title,Measure Description,NQF Number  (if applicable),NQS Domain,High Priority,Measure Type,Inverse Measure,Proportional Measure,Continuous Variable Measure,Ratio Measure,Number of performance rates to be submitted,Overall Algorithm,Is the Measure Risk-Adjusted,Primary Steward,First Performance Year,Performance Rate Description,Submission Pathway
ImageGuide Registry,IGR14,Appropriate Evaluation of Left Ventricular Structure and Systolic Function with Transthoracic Echocardiography (TTE) to Guide Heart Failure and Cardiomyopathy Management,"This measure addresses appropriate evaluation of left ventricular structure and systolic function with TTE to guide heart failure and cardiomyopathy management on patients 18 years of age or older. It examines percentage (%) of comprehensive transthoracic echocardiogram (TTE) studies performed on patients with heart failure/cardiomyopathy as the reason for the study, and including the following parameters for the study: 
 - LV end-diastolic and end systolic diameters, end diastolic LV interventricular septum thickness and LV posterior wall thickness measurements 
 - LV mass index calculation 
 - Strain technology utilization
 - Use of intravenous contrast agent to visualize endocardial borders for LV volumes and ejection fraction (EF) measurement in technically difficult studies.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,ImageGuide Registry,2021,N/A,Traditional MIPS
ImageGuide Registry,IGR15,Myocardial Perfusion Imaging (MPI) or Stress Echocardiography Imaging Studies - Adequate Exercise Protocol,"This is a multi-strata measure consisting of the following strata: 
1. Percentage of Single Photon Emission Computed Tomography (SPECT) Myocardial Perfusion Imaging (MPI) or Stress Echocardiography studies using a Stress Test Type that includes exercise performed on patients 18 years of age or older.
2 .Percentage of Single Photon Emission Computed Tomography (SPECT) Myocardial Perfusion Imaging (MPI) or Stress Echocardiography exercise studies where the stress heart rate >= 85% of maximum heart rate and three or more minutes of exercise performed on patients 18 years of age or older.

The overall performance will be calculated using a weighted average.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,2,Weighted Average,No,ImageGuide Registry,2021,"Rate 1: Percentage of Single Photon Emission Computed Tomography (SPECT) Myocardial Perfusion Imaging (MPI) or Stress Echocardiography studies using a Stress Test Type that includes exercise performed on patients 18 years of age or older.
Rate 2: Percentage of Single Photon Emission Computed Tomography (SPECT) Myocardial Perfusion Imaging (MPI) or Stress Echocardiography exercise studies where the stress heart rate >= 85% of maximum heart rate and three or more minutes of exercise performed on patients 18 years of age or older.",Traditional MIPS
ImageGuide Registry,IGR16,"Myocardial Perfusion Imaging (MPI) Studies, Transthoracic Echo (TTE), or Stress Echocardiography Imaging Studies - Adequate Reporting for Appropriate Interventions","This is a multi-strata measure consisting of the following strata: 
1. Percentage of Single Photon Emission Computed Tomography (SPECT) and Positron Emission Tomography (PET) Myocardial Perfusion Imaging (MPI) studies that were abnormal and contained perfusion defects documentation including location, severity, and size performed on patients 18 years of age or older.
2 .Percentage of Single Photon Emission Computed Tomography (SPECT), Positron Emission Tomography (PET) Myocardial Perfusion Imaging (MPI), transthoracic echocardiography, or stress echocardiography imaging studies where the Left Ventricle Ejection Fraction (LVEF) was calculated and included in the report performed on patients 18 years of age or older.

The overall performance will be calculated using a weighted average.",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,2,Weighted Average,No,ImageGuide Registry,2021,"Rate 1: Percentage of Single Photon Emission Computed Tomography (SPECT) and Positron Emission Tomography (PET) Myocardial Perfusion Imaging (MPI) studies that were abnormal and contained perfusion defects documentation including location, severity, and size performed on patients 18 years of age or older.
Rate 2 :Percentage of Single Photon Emission Computed Tomography (SPECT), Positron Emission Tomography (PET) Myocardial Perfusion Imaging (MPI), transthoracic echocardiography, or stress echocardiography imaging studies where the Left Ventricle Ejection Fraction (LVEF) was calculated and included in the report performed on patients 18 years of age or older.",Traditional MIPS
ImageGuide Registry,IGR17,Myocardial Perfusion Imaging (MPI) studies - Radiation Reduction Strategies,"This is a multi-strata measure consisting of the following strata: 
1. Percentage of Single Photon Emission Computed Tomography (SPECT) and Positron Emission Tomography (PET) Myocardial Perfusion Imaging (MPI) studies where the imaging protocol used was stress only performed on patients 18 years of age or older.
2. Percentage of Single Photon Emission Computed Tomography (SPECT) Myocardial Perfusion Imaging (MPI) studies where 9 or less millisieverts of radiation were administered per ASNC guideline recommendations on patients 18 years of age or older.

The overall performance will be calculated using a weighted average.",N/A,Patient Safety,Yes,Outcome,No,Yes,No,No,2,Weighted Average,No,ImageGuide Registry,2021,"Rate 1: Percentage of Single Photon Emission Computed Tomography (SPECT) and Positron Emission Tomography (PET) Myocardial Perfusion Imaging (MPI) studies where the imaging protocol used was stress only performed on patients 18 years of age or older.
Rate 2: Percentage of Single Photon Emission Computed Tomography (SPECT) Myocardial Perfusion Imaging (MPI) studies where 9 or less millisieverts of radiation were administered per ASNC guideline recommendations on patients 18 years of age or older.",Traditional MIPS
ImageGuide Registry,IGR18,Myocardial Perfusion Imaging (MPI) or Stress Echocardiography imaging studies - Improving Image Quality ,"This is a multi-strata measure consisting of the following strata: 
1. Percentage of Single Photon Emission Computed Tomography (SPECT) Myocardial Perfusion Imaging (MPI) studies using Attenuation Correction performed on patients 18 years of age or older.
2.Percentage of SPECT-MPI or Stress Echocardiography imaging studies where the Imaging Protocol was appropriate for morbidly obese patients 18 years of age or older.

The overall performance will be calculated using a weighted average.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,2,Weighted Average,No,ImageGuide Registry,2021,"Rate 1: Percentage of Single Photon Emission Computed Tomography (SPECT) Myocardial Perfusion Imaging (MPI) studies using Attenuation Correction performed on patients 18 years of age or older.
Rate 2: Percentage of SPECT-MPI or Stress Echocardiography imaging studies where the Imaging Protocol was appropriate for morbidly obese patients on patients 18 years of age or older.",Traditional MIPS
ImageGuide Registry,IGR2,"Parameters in stress echocardiography dobutamine testing for low flow, low gradient aortic stenosis","Percentage of low flow, low gradient aortic stenosis studies in the setting of LVEF < 50% with complete measurements during a dobutamine stress echocardiogram on patients 18 years of age or older.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,ImageGuide Registry,2019,N/A,Traditional MIPS
ImageGuide Registry,IGR9,Stress echo performance for shortness of breath per ASE guidelines,"Stress echo performance for shortness of breath per ASE guidelines on patients 18 years of age or older. This is a multi-strata measure consisting of the following: 
1. Percentage of stress echo studies presenting with an indication of unexplained dyspnea that include an interpretation of LV diastolic function parameters with exercise.
2. Percentage of stress echo studies presenting with significant aortic or mitral valve disease that include reporting of value function and regurgitation with exercise. 
The overall performance will be calculated using a weighted average.",N/A,Effective Clinical Care,Yes,Efficiency and Cost/Resource Use,No,Yes,No,No,1,1st Performance Rate,No,ImageGuide Registry,2019,"Rate 1: The overall performance will be calculated as a weighted average of the two performance rates as above from the two measure strata.
Rate 2: Percentage of stress echo studies presenting with an indication of unexplained dyspnea that include an interpretation of LV diastolic function parameters with exercise.
Rate 3: Percentage of stress echo studies presenting with significant aortic and mitral valve disease that include reporting of value function and regurgitation with exercise.",Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS1,Endothelial Keratoplasty - Post-operative improvement in best corrected visual acuity to 20/40 or better,Percentage of endothelial keratoplasty patients with a best corrected visual acuity of 20/40 or better within 90 days after surgery,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2015,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS13,Diabetic Macular Edema - Loss of Visual Acuity,Percentage of patients with a diagnosis of diabetic macular edema with a loss of less than 3 Snellen lines (which is equivalent to less than 0.3 logMAR) within the past 12 months.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2015,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS17,Acute Anterior Uveitis: Post-treatment Grade 0 anterior chamber cells,Percentage of patients with acute anterior uveitis post-treatment with Grade 0 anterior chamber cells,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2015,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS2,Glaucoma – Intraocular Pressure Reduction,Percentage of glaucoma patient visits where their IOP was below a threshold level based on the severity of their diagnosis.,N/A,Effective Clinical Care,Yes,Intermediate Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2015,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS23,Refractive Surgery: Patients with a postoperative uncorrected visual acuity (UCVA) of 20/20 or better within 30 days,Percentage of patients with an uncorrected visual acuity (UCVA) of 20/20 or better within 30 days,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2017,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS24,Refractive Surgery: Patients with a postoperative correction within + or - 0.5 Diopter (D) of the intended correction,Percentage of patients with an actual spherical equivalent within + or - 0.5 D of the intended correction or SE,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2017,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS26,Avoidance of Routine Antibiotic Use in Patients Before or After Intravitreal Injections,"The percentage of patients, aged 18 years and older, who received topical or systemic antibiotics before or after intravitreal injections",N/A,Efficiency and Cost Reduction,Yes,Efficiency and Cost/Resource Use,Yes,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2017,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS35,Improvement of Macular Edema in Patients with Uveitis,Percentage of patients with uveitis and macular edema with a reduction of 20% or greater in the central subfield thickness on OCT within 90 days after treatment.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS38,Endothelial Keratoplasty – Dislocation Requiring Surgical Intervention,Percentage of endothelial keratoplasty patients with a rebubbling or revision or repair procedure within 90 days after surgery,N/A,Effective Clinical Care,Yes,Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS39,Intraocular Pressure Reduction Following Trabeculectomy or an Aqueous Shunt Procedure,Percentage of patients who underwent trabeculectomy or aqueous shunt procedure who had IOP reduced by 20% or more from their pretreatment between 3 and 4 months of treatment or a reduction in overall number of glaucoma medications.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS41,Improved visual acuity after epiretinal membrane treatment within 120 days,Percentage of patients with a 20% improvement in visual acuity within 120 days following epiretinal membrane treatment,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS43,Intraocular Pressure Reduction Following Laser Trabeculoplasty,Percentage of patients who underwent laser trabeculoplasty who had IOP reduced by 20% or more from their pretreatment IOP or had a reduction in overall number of glaucoma medications.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS44,Visual Field Progression in Glaucoma,Percentage of patients with a diagnosis of glaucoma with a mean deviation loss of 3dB or more from their baseline value.,N/A,Effective Clinical Care,Yes,Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS45,Exudative Age-Related Macular Degeneration: Loss of Visual Acuity,"Percentage of patients with a diagnosis of exudative age-related macular degeneration, being treated with anti-VEGF agents, with a loss of less than 3 Snellen lines (which is equivalent to less than 0.3 logMAR) of visual acuity within the past 12 months. First performance rate used for reporting.",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019,"2 rates calculated, but only 1 submitted, with the other calculated for internal quality improvement",Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS46,Evidence of anatomic closure of macular hole within 90 days after surgery as documented by OCT,Percentage of patients with a macular hole who have evidence of anatomic closure documented by OCT within 90 days after surgical treatment.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS48,Adult Surgical Esotropia: Postoperative alignment,Percentage of adult esotropia patients receiving surgical treatment with a post treatment alignment of 12 prism diopters (PD) or less.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS49,Surgical Pediatric Esotropia: Postoperative alignment,Percentage of surgical esotropia pediatric patients with a postoperative alignment of 12 prism diopters (PD) or less without a reoperation.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS5,Surgery for Acquired Involutional Ptosis: Patients with an improvement of marginal reflex distance (MRD),Percentage of surgical ptosis patients with an improvement of MRD within 90 days postoperatively.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2015,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS50,Amblyopia: Interocular visual acuity,"Percentage of newly diagnosed amblyopic patients with one or more of the following:
A. a corrected interocular (or if not reported, the uncorrected) visual acuity difference < 0.23 logMAR 3-12 months after first diagnosis of amblyopia
OR
B. an improvement in the corrected visual acuity of the amblyopic eye of 3 or more Snellen lines (> or = 0.30 logMAR) 3-12 months after first diagnosis of amblyopia 
OR
C. a final visual acuity in the amblyopic eye equal to 20/30 or better (less than or equal to 0.18 logMar) 3-12 months after first diagnosis of amblyopia",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS51,Acute Anterior Uveitis: Post-treatment visual acuity,Percentage of acute anterior uveitis patients with a post-treatment best corrected visual acuity of 20/20 or better or patients whose visual acuity had returned to their baseline value prior to onset of uveitis.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS52,Post-operative opioid management following ocular surgery,"Percentage of patients aged 18 years and older who underwent ocular surgical procedures who were assessed for opioid use/requirements post-operatively, defined by either not receiving opioids post-operatively, receiving opioids for pain for 7 days or less post-operatively, or if expected to require opioids for more than 7 days after the surgical procedure, having an opioid use management plan documented.",N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS53,Chronic Anterior Uveitis - Post-treatment visual acuity,Percentage of chronic anterior uveitis patients with a post-treatment best corrected visual acuity of 20/30 or better or patients whose visual acuity had returned to their baseline value prior to onset of uveitis.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS54,Complications After Cataract Surgery,"Percentage of eyes of patients aged 18 years and older with a diagnosis of cataract who had cataract surgery and had the following complications with 90 days after cataract surgery: prolonged inflammation, incision complications, iris complications, retinal detachment, cystoid macular edema, corneal complications, or a return to OR.",N/A,Effective Clinical Care,Yes,Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS55,Visual Acuity Improvement Following Cataract Surgery and Minimally Invasive Glaucoma Surgery,Percentage of eyes of patients aged 18 years and older with a diagnosis of cataract who had cataract surgery and minimally invasive glaucoma surgery and achieved 20/30 best-corrected distance visual acuity or better OR an improvement in best-corrected distance visual acuity within 4 months following the cataract surgery. Weighted average of performance rates reported.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,3,Weighted Average,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020,"Rate 1: Includes eyes of patients with mild to moderate stage glaucoma and a 20/30 or better post-operative best-corrected distance visual acuity
Rate 2: Includes eyes of patients with severe stage glaucoma or a pre-operative best-corrected visual acuity of 20/200 and a 2 lines or better improvement in the post-operative best-corrected distance visual acuity from preoperative visual acuity
Rate 3: Includes eyes of patients with a pre-operative best-corrected visual acuity of 20/400 and a 1 line or better improvement in the post-operative best-corrected distance visual acuity from pre-operative visual acuity",Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS56,Adult Diplopia: Improvement of ocular deviation or absence of diplopia or functional improvement,Percentage of patients with a diagnosis of double vision (diplopia) who had an improvement of ocular deviation as determined by reduction of strabismus in primary gaze to <10 prism diopters horizontal or <2 prism diopters vertical deviation OR were absent of diplopia in primary gaze OR had functional improvement in ptosis within 6 months of initiating treatment.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS57,Idiopathic Intracranial Hypertension: Improvement of mean deviation or stability of mean deviation,Percentage of patients with improvement in mean deviation or stability of mean deviation (+1db) within 6 months of initiating therapy.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS58,Improved Visual Acuity after Vitrectomy for Complications of Diabetic Retinopathy within 120 Days,Percentage of patients with a 20% or greater improvement in visual acuity within 120 days following vitrectomy for complications of diabetic retinopathy,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS59,Regaining Vision After Cataract Surgery,Percentage of eyes of patients aged 18 years and older with a diagnosis of cataract who had cataract surgery and 20/20 best-corrected distance visual acuity or better OR an improvement in best-corrected distance visual acuity within 30 days following the cataract surgery. Weighted average of performance rates reported.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,3,Weighted Average,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020,"Rate 1: Includes eyes of patients with no comorbidities or additional procedures on the same date as the cataract surgery, 
Rate 2: Includes eyes of patients with comorbidities with a pre-operative visual acuity of 20/200 or better, and 
Rate 3: Includes eyes of patients with comorbidities with a pre-operative visual acuity of 20/400 or worse",Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS6,Acquired Involutional Entropion: Normalized lid position after surgical repair,Percentage of surgical entropion patients with normalized lid position within 90 days postoperatively.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2015,N/A,Traditional MIPS
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS60,Visual Acuity Improvement Following Cataract Surgery Combined with a Trabeculectomy or an Aqueous Shunt Procedure,Percentage of eyes of patients who underwent cataract surgery combined with a trabeculectomy or an aqueous shunt procedure who had their visual acuity improve 1 or 2 or more Snellen lines from their preoperative visual acuity between 3 and 6 months postoperatively. Weighted average of performance rates reported.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,3,Weighted Average,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020,"Rate 1: Includes eyes of patients with a pre-operative visual acuity of better than 20/200 who had an improvement from their preoperative visual acuity of 2 or more lines between 3 and 6 months postoperatively
Rate 2: Includes eyes of patients with a pre-operative visual acuity of 20/200 who had an improvement from their preoperative visual acuity of 2 or more lines between 3 and 6 months postoperatively
Rate 3: Includes eyes of patients with a pre-operative visual acuity of 20/400 who had an improvement from their preoperative visual acuity of 1 or more lines between 3 and 6 months postoperatively",Traditional MIPS
Keet Outcomes,IROMS11,"Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) to indicate functional improvement in knee rehabilitation of patients with knee injury measured via their validated Knee Outcome Survey (KOS) score, or equivalent instrument which has undergone peer reviewed published validation and demonstrates a peer reviewed published MCID.","The proportion of patients failing to achieve an MCID of ten (10) points or more improvement in the KOS change score for patients with knee injury treated during the observation period will be reported. 

Additionally, a risk-adjusted MCID proportional difference will be determined by calculating the difference between the risk model predicted and observed MCID proportion will reported for each physical therapist or physical therapy group. The risk adjustment will be calculated using a logistic regression model using: baseline KOS score, baseline pain score, age, sex, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit). 

These measures will serve as a PT/OT performance measure at the eligible PT/OT or PT/OT group level.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),Yes,Yes,No,No,6,2nd Performance Rate,Yes,Keet Outcomes,2019,"Six measures will be reported, two overall performance measures and four stratified performance measures are to be included: 

Rate 1: Overall proportion of patients not achieving an MCID in KOS change score will be reported. 
Rate 2: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via KOS) proportion will reported. 

For operative (surgical) patients:
Rate 3: The proportion of patients not achieving an MCID in KOS change score will be reported. 
Rate 4: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via KOS) proportion will reported. 

For non-operative (non-surgical) patients:
Rate 5: The proportion of patients not achieving an MCID in KOS change score will be reported. 
Rate 6: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via KOS) proportion will reported.",Traditional MIPS
Keet Outcomes,IROMS12,"Failure to Progress (FTP): Proportion of patients failing to achieve a Minimal Clinically Important Difference (MCID) in improvement in pain score, measured via the Numeric Pain Rating Scale (NPRS), in rehabilitation patients with knee injury pain.","The proportion of patients failing to achieve MCID of two (2) points or more improvement in the NPRS change score for patients with knee injuries treated during the observation period will be reported. 

Additionally, a risk-adjusted MCID proportional difference will be determined by calculating the difference between the risk model predicted and observed MCID proportion will reported for each physical therapist or physical therapy group. The risk adjustment will be calculated using a logistic regression model using: baseline KOS score, baseline pain score, age, sex, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit). 

These measures will serve as a physical or occupational therapy performance measure at the eligible physical or occupational therapist or physical or occupational therapy group level.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),Yes,Yes,No,No,6,2nd Performance Rate,Yes,Keet Outcomes,2019,"Six measures will be reported, two overall performance measures and four stratified performance measures are to be included: 
Rate 1: Overall proportion of patients not achieving an MCID in the NPRS change score will be reported. 
Rate 2: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported. 

For operative (surgical) patients:
Rate 3: The proportion of patients not achieving an MCID in the NPRS change score will be reported. 
Rate 4: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported. 

For non-operative (non-surgical) patients:
Rate 5: The proportion of patients not achieving an MCID in the NPRS change score will be reported. 
Rate 6: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID proportion will reported.",Traditional MIPS
Keet Outcomes,IROMS13,"Failure to Progress (FTP): Proportion of patients not achieving a Minimal Clinically Important Difference (MCID) to indicate functional improvement in rehabilitation of patients with hip, leg or ankle injuries using the validated Lower Extremity Function Scale (LEFS) score, or equivalent instrument which has undergone peer reviewed published validation and demonstrates a peer reviewed published MCID.","The proportion of patients failing to achieve an MCID of nine (9) points or more improvement in the LEFS change score for patients with hip, leg, or ankle injuries treated during the observation period will be reported. 

Additionally, a risk-adjusted MCID proportional difference will be determined by calculating the difference between the risk model predicted and observed MCID proportion will reported for each physical therapist or physical therapy group. The risk adjustment will be calculated using a logistic regression model using: baseline LEFS score, baseline pain score, age, sex, payer, and symptom duration (time from surgery or injury to baseline physical therapy visit). 

These measures will serve as a physical or occupational therapy performance measure at the eligible physical or occupational therapist or physical or occupational therapy group level.",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),Yes,Yes,No,No,6,2nd Performance Rate,Yes,Keet Outcomes,2019,"Six measures will be reported, two overall performance measures and four stratified performance measures are to be included: 
Rate 1: Overall proportion of patients not achieving an MCID in LEFS change score will be reported. 
Rate 2: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via LEFS) proportion will reported. 

For operative (surgical) patients:
Rate 3: The proportion of patients not achieving an MCID in LEFS change score will be reported. 
Rate 4: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via LEFS) proportion will reported. 

For non-operative (non-surgical) patients:
Rate 5: The proportion of patients not achieving an MCID in LEFS change score will be reported. 
Rate 6: A risk-adjusted MCID proportional difference will be reported where the difference between the risk model predicted and observed MCID (measured via LEFS) proportion will reported.",Traditional MIPS
